Name,Fighter,Thief,Rogue,Warrior Monk,Layman,Magician,Illusionist,Cleric,Animist,Mentalist,Lay Healer,Healer,Mystic,Sorcerer,Ranger,Paladin,Monk,Dabbler,Bard,Magend
Armor - Heavy			 ,2/2/2,4/4/4,3/3/3,10,4/4/4,11,11,11,11,7/7/7,5/5/5,7/7/7,7/7/7,11,5/5/5,3/3/3,11,11,5/5/5,6/6/6
Armor - Light			 ,1/1/1,2/2/2,1/1/1,9,2/2/2,9,9,2/2/2,2/2/2,4/4/4,2/2/2,4/4/4,4/4/4,9,2/2/2,1/1/1,9,5/5/5,2/2/2,2/2/2
Armor - Medium			 ,2/2/2,3/3/3,2/2/2,10,3/3/3,10,10,10,10,6/6/6,4/4/4,6/6/6,,6/6/6,10,4/4/4,2/2/2,10,10,3/3/3,4/4/4
Artistic - Active		 ,2/5,2/4,2/4,2/5,2/5,2/5,1/5,2/5,2/5,2/5,2/5,2/5,1/4,2/5,2/5,2/5,2/5,2/4,1/2,2/4
Artistic - Passive		 ,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/5,1/3,2/5
Athletic - Brawn		 ,2/5,3/6,2/6,2/5,3/6,6,7,5,4,5,6,6,7,7,3/7,3/7,3/7,3/9,4/9,3/9
Athletic - Endurance		 ,2/6,2/7,2/5,2/6,2/7,3,3,3,3,3,3,3,3,3,1/5,2/7,2/7,2/7,2/7,2/7
Athletic - Gymnastics		 ,2/5,1/3,1/5,1/3,2/6,3,3,3,3,3/9,3/9,3,3,3,3/6,3/7,1/5,2/4,2/6,2/4
Awareness - Perception		 ,2/9,2/5,2/6,2/9,3/10,6,4,6,6,5,5,6,3,6,3/12,5/14,3/14,4/14,4/12,4/12,3/10
Awareness - Searching		 ,2/5,1/3,1/5,2/5,2/63,3,2/6,1/5,3,3,3,2/4,3,1/4,2/6,2/6,2/6,2/6,2/6,1/5
Awareness - Senses		 ,2/6,2/5,2/6,2/5,2/6,3/7,2/6,3/7,3/7,3/7,3/7,3/7,2/6,3/7,2/5,3/7,3/7,3/7,3/7,2/6
Body Development		 ,2/5,5/12,3/9,4/10,4/12,15,15,10,8,12,12,2/6,15,15,4/12,4/10,6/14,6/14,6/14,6/14
Combat Maneuvers		 ,3/9,4/12,4/10,4/9,4/12,18,18,10,10,14,14,18,18,18,5/12,4/10,5/12,6/14,6/14,6/14
Communications			 ,3/3/3,3/3/3,3/3/3,3/3/3,2/2/2,2/2/2,1/1/1,2/2/2,2/2/2,2/2/2,2/2/2,2/2/2,1/1/1,2/2/2,3/3/3,3/3/3,3/3/3,2/2/2,1/1/1,1/1/1
Crafts				 ,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10,4/10
Directed Spells			 ,20,20,20,20,3/6,2/5,2/6,3,3,2/6,2/7,3,2/6,2/5,15,20,9,5,10,10
Influence			 ,2/7,2/5,2/5,2/7,2/5,2/6,2/5,2/4,2/6,2/6,2/6,2/6,1/4,2/6,2/6,1/5,2/6,2/4,1/4,1/5
