AT;start;low ;high;A;B;C;D;E;pattern;first;type
1;31;1;50;34;76;85;106;121;K;148;F
2;31;1;48;37;76;88;106;124;K;148;F
3;37;1;45;43;82;94;106;127;K;148;F
4;40;1;40;49;82;97;112;130;K;148;F
5;37;2;47;37;76;88;106;124;K;148;F
6;37;1;43;40;79;91;106;127;K;148;F
7;40;1;38;43;82;97;118;133;K;148;F
8;43;1;32;46;88;103;118;133;K;148;F
9;40;1;39;52;82;91;106;127;K;148;F
10;43;1;34;58;91;103;115;133;K;148;F
11;52;1;31;67;103;121;136;145;K;148;F
12;61;1;27;76;112;127;139;145;K;148;F
13;37;1;44;49;82;94;109;130;K;148;F
14;40;1;39;55;91;106;130;142;K;148;F
15;43;1;34;58;94;112;130;142;K;148;F
16;46;1;31;61;97;115;133;142;K;148;F
17;43;1;35;61;94;106;118;133;K;148;F
18;46;1;30;67;100;115;133;142;K;148;F
19;58;1;25;73;106;121;136;145;K;148;F
20;70;1;20;82;115;130;139;145;K;148;F
