AT;start;low ;high;A;B;C;D;E;pattern;first;type
1;46;1;20;94;115;121;127;136;UK;151;F
2;49;1;19;85;109;115;124;133;KU;148;F
3;55;1;15;91;112;121;130;139;KU;148;F
4;61;1;15;88;112;121;130;139;UK;148;F
5;49;1;19;91;112;118;127;136;KU;148;F
6;55;1;17;88;112;121;130;139;UK;148;F
7;61;1;15;82;112;121;126;142;UK;148;F
8;61;1;14;76;106;118;130;139;UK;148;F
9;49;1;18;85;109;115;127;139;KU;148;F
10;55;1;16;82;109;118;127;139;U;109;KU
11;67;1;13;76;106;124;139;148;U;121;KU
12;70;1;11;73;106;124;139;148;U;133;KU
13;55;1;18;82;106;115;127;139;U;91;KU
14;61;1;15;79;109;121;139;145;U;103;KU
15;64;1;14;73;109;124;139;148;U;115;KU
16;64;1;14;70;109;127;142;148;U;115;KU
17;52;1;17;76;100;112;124;136;KU;148;F
18;61;1;15;73;106;121;139;145;U;109;KU
19;64;1;12;70;106;124;139;145;U;115;KU
20;67;1;10;67;106;127;139;145;U;133;KU
