AT;start;low ;high;A;B;C;D;E;pattern;first;type
1;49;1;45;64;85;106;112;124;SP;151;
2;52;1;43;67;91;109;115;127;SP;151;
3;64;1;35;82;100;112;124;136;SP;151;
4;67;1;29;91;112;121;130;139;SP;151;
5;58;1;42;76;97;106;118;130;PS;151;
6;61;1;38;79;100;112;124;136;PS;151;
7;67;1;29;82;103;115;130;139;SP;151;
8;67;1;29;79;103;115;127;139;PS;151;
9;58;1;37;85;106;115;127;139;SP;151;
10;73;1;32;88;109;118;127;139;SP;151;
11;79;1;25;97;118;130;142;148;SP;151;
12;88;1;20;103;124;136;145;148;SP;151;
13;64;1;33;91;106;115;127;139;PS;151;
14;67;1;28;94;112;124;139;145;SP;151;
15;76;1;22;97;118;130;142;148;SP;151;
16;79;1;22;97;118;130;142;148;SP;151;
17;58;1;30;91;112;121;130;139;SP;151;
18;67;1;25;94;112;124;139;145;SP;151;
19;82;1;23;103;121;133;142;148;SP;151;
20;94;1;16;106;127;139;145;148;SP;151;
