AT;start;low;high;A;B;C;D;E;pattern;first;type
1;61;4;19;82;100;112;124;136;;151;Brawl
2;49;4;18;73;91;106;121;136;;151;Brawl
3;61;3;16;88;103;118;130;142;;151;Brawl
4;55;1;15;91;109;121;136;145;;151;Brawl
5;43;2;18;70;91;109;127;139;;151;Brawl
6;40;2;16;76;94;112;130;139;;151;Brawl
7;34;2;14;79;97;112;130;142;;151;Brawl
8;31;2;14;85;103;121;136;145;;151;Brawl
9;55;1;13;73;94;112;130;142;;151;Brawl
10;49;1;13;82;103;118;136;145;;151;Brawl
11;55;1;11;88;106;124;139;145;;151;Brawl
12;43;1;10;91;112;127;142;148;;151;Brawl
13;43;1;10;76;97;115;133;142;;151;Brawl
14;43;1;10;85;103;118;133;139;;151;Brawl
15;43;1;9;91;112;124;139;151;;151;Brawl
16;40;1;9;94;115;127;139;151;;151;Brawl
17;46;1;8;79;106;121;133;142;;151;Brawl
18;43;1;7;91;121;133;142;151;;151;Brawl
19;40;1;6;100;133;142;148;151;;151;Brawl
20;43;1;5;103;133;142;148;151;;151;Brawl
