AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,37,1,24,61,88,106,112,121,PS,148,F
2,40,1,24,64,85,109,115,124,SP,148,F
3,52,1,21,79,100,112,124,136,PS,148,F
4,61,1,19,91,112,121,130,139,PS,151,F
5,49,1,23,76,97,106,118,130,PS,148,F
6,58,1,21,79,103,112,124,136,PS,151,F
7,67,1,15,85,103,115,130,139,SP,151,F
8,67,1,15,88,112,121,133,142,SP,151,F
9,52,1,20,82,100,109,121,136,SP,148,F
10,61,1,18,91,115,124,133,142,PS,151,F
11,70,1,15,100,118,130,142,148,PS,151,F
12,76,1,12,109,124,136,145,148,PS,151,F
13,58,1,19,88,103,112,124,136,SP,148,F
14,61,1,17,94,112,124,139,145,SP,151,F
15,67,1,14,103,121,133,145,151,SP,151,F
16,70,1,14,106,127,139,148,151,PS,151,F
17,55,1,18,88,112,121,130,139,PS,148,F
18,61,1,15,97,115,127,142,148,PS,151,F
19,73,1,13,103,118,130,142,148,SP,151,F
20,85,1,10,112,127,139,145,148,SP,151,F
