AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,85,8,22,100,107,113,120,132,K,151,K
2,75,8,20,90,97,106,116,130,K,151,K
3,85,6,17,105,113,120,128,138,K,151,K
4,80,3,14,110,117,123,132,141,K,151,K
5,70,4,21,85,99,114,124,138,K,151,K
6,65,4,18,90,103,117,129,140,K,151,K
7,60,4,13,95,104,116,130,142,K,151,K
8,57,4,13,100,113,125,137,144,K,151,K
9,75,2,19,85,98,113,129,141,K,151,K
10,70,2,19,95,108,121,135,144,K,151,K
11,75,2,15,100,111,124,136,144,K,151,K
12,64,2,13,105,118,130,141,146,K,151,K
13,65,1,18,100,114,125,136,145,K,151,K
14,60,1,18,110,123,132,143,148,K,151,K
15,57,1,15,115,128,137,144,149,K,151,K
16,55,1,15,120,132,139,145,149,K,151,K
17,56,1,14,105,121,131,139,146,K,151,K
18,55,1,12,115,130,139,146,149,K,151,K
19,53,1,10,125,137,144,149,150,K,151,K
20,52,1,8,130,140,146,150,151,K,151,K
