AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,93,8,27,94,101,108,116,130,K,95,P
2,81,8,23,82,90,99,111,127,K,83,P
3,95,6,20,95,104,112,122,135,K,96,P
4,90,3,17,100,107,114,126,138,K,101,P
5,71,4,29,72,88,104,116,135,K,73,P
6,71,4,26,72,85,102,118,135,K,73,P
7,70,4,21,75,85,100,119,137,K,76,P
8,65,4,21,80,96,112,129,140,K,81,P
9,79,2,26,80,90,105,122,138,K,81,P
10,80,2,26,85,96,110,127,141,K,86,P
11,85,2,22,90,101,115,129,141,K,91,P
12,75,2,20,95,108,122,136,144,K,96,P
13,75,1,25,80,93,106,122,138,K,81,P
14,70,1,25,90,102,113,130,142,K,91,P
15,65,1,22,95,109,119,131,142,K,96,P
16,60,1,22,100,113,121,132,143,K,101,P
17,75,1,17,95,108,117,128,140,K,96,P
18,70,1,15,105,118,127,136,144,K,106,P
19,60,1,13,115,127,134,141,146,K,116,P
20,52,1,11,120,130,135,141,146,K,121,P
