AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,90,7,18,95,106,115,125,135,PS,151,P
2,80,7,16,85,97,108,121,133,SP,138,P
3,90,5,13,100,112,121,131,140,SP,133,P
4,85,2,10,105,117,125,135,143,SP,124,P
5,76,3,16,80,98,115,128,141,SP,143,P
6,70,3,13,85,102,118,133,142,SP,132,P
7,65,3,8,90,104,118,133,143,SP,127,P
8,59,3,8,95,109,123,137,144,PS,123,P
9,80,1,12,95,109,122,136,144,PS,128,P
10,75,1,12,105,118,129,141,147,SP,124,P
11,80,1,8,110,122,133,143,147,SP,119,P
12,70,1,6,115,127,136,145,148,SP,119,P
13,70,1,10,110,124,134,143,148,SP,135,P
14,65,1,10,120,132,139,147,150,SP,133,P
15,59,1,7,125,135,142,148,150,SP,128,P
16,54,1,7,130,139,144,148,150,SP,133,P
17,65,1,6,120,133,140,146,149,SP,139,P
18,59,1,4,130,140,145,149,150,SP,140,P
19,46,1,4,140,146,149,151,151,KP,141,P
20,40,1,3,145,149,150,151,151,KP,146,P
