AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,84,8,34,85,91,97,105,124,KS,104,S
2,74,8,32,75,82,91,103,122,KS,98,S
3,84,6,29,90,97,105,115,131,KS,109,S
4,79,3,26,95,102,108,120,134,KS,112,S
5,69,4,32,71,84,100,112,132,SK,111,S
6,64,4,29,75,87,103,118,135,SK,113,S
7,59,4,24,80,89,103,120,137,KS,115,S
8,56,4,24,85,98,113,129,140,KS,118,S
9,70,2,28,71,83,99,118,136,SK,151,K
10,65,2,28,81,92,107,125,140,SK,151,K
11,70,2,24,86,98,113,128,140,KS,151,K
12,60,2,22,91,104,119,134,143,SK,151,K
13,60,1,24,86,99,110,124,139,SK,137,K
14,57,1,24,96,109,118,132,143,SK,139,K
15,56,1,21,101,113,122,132,143,SK,140,K
16,55,1,21,106,117,124,133,143,SK,141,K
17,57,1,20,96,110,119,129,141,KS,128,K
18,56,1,18,106,120,129,138,145,KS,132,K
19,54,1,16,116,127,134,141,146,KS,136,K
20,52,1,14,121,132,137,143,147,SK,136,K
