AT,start,low ,high,A,B,C,D,E,F,pattern,first,type
1,31,1,50,34,76,85,106,121,148,K,151,K
2,31,1,48,37,76,88,106,124,148,K,151,K
3,37,1,45,43,82,94,106,127,148,K,151,K
4,40,1,40,49,82,97,112,130,148,K,151,K
5,37,2,47,37,76,88,106,124,148,K,151,K
6,37,1,43,40,79,91,106,127,148,K,151,K
7,40,1,38,43,82,97,118,133,148,K,151,K
8,43,1,32,46,88,103,118,133,148,K,151,K
9,40,1,39,52,82,91,106,127,145,K,151,K
10,43,1,34,58,91,103,115,133,148,K,151,K
11,52,1,31,67,103,121,136,145,148,K,151,K
12,61,1,27,76,112,127,139,145,148,K,151,K
13,37,1,44,49,82,94,109,130,148,K,151,K
14,40,1,39,55,91,106,130,142,148,K,151,K
15,43,1,34,58,94,112,130,142,148,K,151,K
16,46,1,31,61,97,115,133,142,148,K,151,K
17,43,1,35,61,94,106,118,133,148,K,151,K
18,46,1,30,67,100,115,133,142,148,K,151,K
19,58,1,25,73,106,121,136,145,148,K,151,K
20,70,1,20,82,115,130,139,145,148,K,151,K
