AT,start,low ,high,fumble,A,B,C,D,E,F,G,H,I ,J,UM,pattern,first,type
1,5,1,33,4,13,33,49,73,96,151,151,151,151,151,33E,H,151,H
2,5,1,31,4,13,37,53,77,96,151,151,151,151,151,31E,H,151,H
3,13,1,29,4,21,49,69,96,98,151,151,151,151,151,29E,H,151,H
4,17,1,27,4,25,49,69,96,98,151,151,151,151,151,27E,H,151,H
5,9,1,31,4,17,33,53,77,96,151,151,151,151,151,31E,H,151,H
6,13,1,30,4,21,41,61,81,98,151,151,151,151,151,30E,H,151,H
7,17,1,25,4,25,45,65,85,96,151,151,151,151,151,25E,H,151,H
8,21,1,25,4,29,49,69,89,98,151,151,151,151,151,25E,H,151,H
9,9,1,28,4,17,37,57,81,96,151,151,151,151,151,28E,H,151,H
10,13,1,27,4,21,41,57,85,96,151,151,151,151,151,27E,H,151,H
11,17,1,22,4,29,49,69,96,98,151,151,151,151,151,22E,H,151,H
12,21,1,19,4,33,57,77,96,100,151,151,151,151,151,19E,H,151,H
13,13,1,24,4,21,41,65,96,98,151,151,151,151,151,24E,H,151,H
14,17,1,23,4,25,45,69,98,100,151,151,151,151,151,23E,H,151,H
15,21,1,19,4,33,61,81,98,100,151,151,151,151,151,19E,H,151,H
16,25,1,19,4,33,65,85,98,100,151,151,151,151,151,19E,H,151,H
17,13,1,23,4,21,45,69,96,98,151,151,151,151,151,23E,H,151,H
18,17,1,22,4,25,53,73,96,100,151,151,151,151,151,22E,H,151,H
19,21,1,18,4,33,61,81,96,100,151,151,151,151,151,18E,H,151,H
20,25,1,15,4,41,69,89,98,100,151,151,151,151,151,15E,H,151,H
