AT,start,low ,high,fumble,A,B,C,D,E,F,G,H,I ,J,UM,pattern,first,type
1,46,3,40,2,46,61,71,81,101,151,151,151,151,151,45E,H,151,H
2,31,1,34,2,41,66,76,86,106,151,151,151,151,151,40E,H,151,H
3,41,1,32,2,51,76,91,106,121,151,151,151,151,151,38E,H,151,H
4,41,1,30,2,56,81,96,111,126,151,151,151,151,151,36E,H,151,H
5,51,1,34,10,51,61,71,86,101,151,151,151,151,151,38E,H,151,H
6,46,1,26,10,66,81,91,101,116,151,151,151,151,151,30E,H,151,H
7,41,1,22,10,76,86,96,106,121,151,151,151,151,151,27E,H,151,H
8,41,1,22,10,71,91,101,111,126,151,151,151,151,151,25E,H,151,H
9,51,1,28,10,56,66,76,91,106,151,151,151,151,151,33E,H,151,H
10,46,1,25,10,66,75,86,101,116,151,151,151,151,151,29E,H,151,H
11,46,1,19,10,76,91,111,131,141,151,151,151,151,151,19E,H,151,H
12,41,1,11,10,86,96,116,136,151,151,151,151,151,151,15E,H,151,H
13,46,1,27,20,51,71,81,101,116,151,151,151,151,151,32E,H,151,H
14,41,1,24,20,61,76,91,111,121,151,151,151,151,151,28E,H,151,H
15,36,1,16,20,76,96,116,131,146,151,151,151,151,151,20E,H,151,H
16,31,1,16,20,71,96,116,131,146,151,151,151,151,151,20E,H,151,H
17,41,1,26,20,46,71,86,106,121,151,151,151,151,151,32E,H,151,H
18,36,1,23,20,56,81,96,116,131,151,151,151,151,151,28E,H,151,H
19,31,1,14,20,71,91,116,136,146,151,151,151,151,151,18E,H,151,H
20,21,1,10,20,81,106,121,141,151,151,151,151,151,151,14E,H,151,H
