AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,80,9,44,81,84,88,100,121,KP,115,K
2,70,9,42,71,75,82,97,119,KP,110,K
3,82,7,39,83,89,95,108,127,KP,116,K
4,80,4,36,87,92,96,111,129,KP,118,K
5,65,5,42,66,78,91,106,128,KP,99,K
6,65,5,39,67,79,92,111,130,KP,99,K
7,60,5,34,72,80,92,112,132,KP,102,K
8,58,5,34,77,88,102,121,135,KP,105,K
9,66,3,35,67,76,87,108,129,KP,91,K
10,65,3,35,74,82,92,113,132,KP,96,K
11,70,3,31,79,87,97,115,132,KP,99,K
12,60,3,29,84,94,104,121,135,KP,104,K
13,60,2,31,77,89,98,115,133,KP,91,K
14,58,2,31,87,97,104,121,136,KP,99,K
15,57,2,28,92,102,109,123,137,KP,102,K
16,55,2,28,97,106,111,124,137,KP,107,K
17,58,2,27,87,99,106,120,135,KP,99,K
18,57,2,25,97,109,116,128,139,KP,107,K
19,54,2,23,107,117,122,132,141,KP,115,K
20,52,2,21,112,120,124,133,141,KP,116,K
