AT;start;low ;high;A;B;C;D;E;pattern;first;type
1;82;1;15;103;127;133;139;145;G;148;F
2;76;1;15;82;115;124;133;142;G;148;F
3;88;1;13;94;118;124;133;142;G;151;F
4;88;1;11;88;115;124;133;142;G;151;F
5;79;1;14;97;115;124;133;142;G;148;F
6;73;1;13;85;115;124;133;142;G;151;F
7;67;1;12;73;103;115;127;139;G;151;F
8;64;1;11;70;103;115;127;139;G;151;F
9;73;1;14;82;115;124;133;142;G;148;F
10;73;1;12;79;103;115;127;139;G;151;F
11;67;1;8;73;103;115;127;139;G;151;F
12;64;1;6;67;103;115;127;139;G;151;F
13;70;1;13;79;103;115;127;139;G;148;F
14;70;1;11;76;103;115;127;139;G;151;F
15;64;1;10;67;103;115;127;139;G;151;F
16;61;1;9;64;103;115;127;139;G;151;F
17;67;1;12;76;103;115;127;139;G;148;F
18;67;1;10;73;103;115;127;139;G;151;F
19;64;1;7;67;103;115;127;139;G;151;F
20;61;1;4;61;91;106;121;136;G;151;F
