AT;start;low ;high;A;B;C;D;E;pattern;first;type
1;80;8;28;90;97;103;111;127;KS;139;S
2;70;8;26;80;87;96;108;125;KS;137;S
3;80;6;23;95;102;110;120;134;KS;140;S
4;75;3;20;100;108;114;125;138;KS;141;S
5;65;4;26;75;88;103;114;133;KS;136;S
6;61;4;23;80;91;106;120;138;KS;137;S
7;56;4;18;85;93;106;122;138;KS;138;S
8;51;4;18;90;102;116;131;141;KS;139;S
9;67;2;24;71;82;97;116;134;KS;151;S
10;62;2;24;82;92;105;123;138;KS;151;S
11;67;2;20;87;97;110;125;138;KS;151;S
12;58;2;18;92;103;116;131;141;KS;151;S
13;51;1;21;85;99;111;125;139;KS;139;K
14;47;1;21;95;107;117;132;143;KS;139;K
15;42;1;18;100;111;121;132;143;KS;141;K
16;32;1;18;105;116;123;133;143;KS;143;K
17;47;1;17;95;109;119;130;140;KS;127;K
18;42;1;15;105;120;129;138;145;KS;131;K
19;32;2;13;115;129;136;143;147;KS;135;K
20;22;1;11;120;130;136;143;147;KS;138;K
