AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,86,8,33,87,92,98,105,124,K,88,P
2,76,8,31,77,83,92,104,123,K,78,P
3,90,6,28,90,97,105,115,131,K,91,P
4,85,3,25,95,96,108,120,134,K,96,P
5,66,4,31,67,81,98,110,131,K,68,P
6,66,4,28,67,82,99,115,134,K,68,P
7,65,4,23,70,79,95,115,135,K,71,P
8,60,4,23,75,89,107,125,138,K,76,P
9,74,2,29,75,85,100,118,135,K,76,P
10,75,2,29,80,91,105,123,138,K,81,P
11,80,2,25,85,95,109,125,138,K,86,P
12,70,2,23,90,104,118,133,142,K,91,P
13,70,1,27,75,90,102,119,136,K,76,P
14,65,1,27,85,98,108,126,139,K,86,P
15,60,1,24,90,101,111,125,139,K,91,P
16,55,1,24,95,105,113,126,139,K,96,P
17,65,1,20,90,104,114,126,139,K,91,P
18,60,1,18,100,114,124,134,143,K,101,P
19,54,1,16,110,123,131,139,145,K,111,P
20,52,1,14,115,125,131,139,145,K,116,P
