AT,start,low ,high,TA,TB,TC,TD,TE,A,B,C,D,E,F,pattern,first,type
1,49,1,35,55,58,61,64,151,67,91,106,109,124,148,PPPPPPPPPPPPPPPPKPKPUKPUKPU,151,U
2,52,1,34,61,64,67,70,151,73,94,109,115,127,148,PPPPPPPPPPPPPPPPPKPUKPUKPUKPU,151,U
3,58,1,31,73,76,79,81,151,84,106,115,124,136,151,PPPPPPPPPPPPKPKPKPUKPU,151,U
4,67,1,29,79,82,85,88,151,91,112,118,124,136,151,PPPPPPPPPPKPKPKPUKPU,151,U
5,55,1,33,64,67,70,73,151,76,97,106,121,130,148,PPPPPPPPPPPPPPPKPKPKPUKPU,151,U
6,61,1,30,70,73,76,79,151,82,100,112,124,136,151,PPPPPPPPPPPPPKPKPKPUKPU,151,U
7,73,1,25,79,82,85,88,151,91,103,118,130,139,151,PPPPPPPPPPPPKPKPKPUKPU,151,U
8,70,1,22,82,85,88,91,151,94,112,121,130,139,151,PPPPPPPPPPPKPKPUKPU,151,U
9,61,1,30,73,76,79,82,151,85,100,109,121,136,151,PPPPPPPPPPPPKPKPKPUKPU,151,U
10,61,1,25,82,85,88,91,151,94,109,118,127,139,151,PPPPPPPPPPPKPKPUKPU,151,U
11,76,1,23,85,88,91,94,151,97,115,127,136,145,151,PPPPPPPPPPKPKPUKPU,151,U
12,82,1,20,91,94,97,100,151,103,118,130,139,145,151,PPPPPPPPPPKPKPUKPU,151,U
13,64,1,27,79,82,85,88,151,91,106,112,124,136,148,PPPPPPPPPPPPKPKPUKPU,151,U
14,70,1,24,85,88,91,94,151,97,112,124,139,145,151,PPPPPPPPPPKPKPUKPU,151,U
15,73,1,22,94,97,100,103,151,106,121,130,139,148,151,PPPPPPPPkPKPKPU,151,U
16,73,1,22,94,97,100,103,151,106,124,133,142,148,151,PPPPPPPPKKKPKPU,151,U
17,78,1,26,88,91,94,97,151,100,112,121,130,139,148,PPPPPKPKPKPUKPU,151,U
18,67,1,23,88,91,94,97,151,100,118,127,139,145,151,PPPPPKPKPKPKPUKPU,151,U
19,79,1,20,91,94,979,100,151,103,118,130,139,145,151,UKP,151,U
20,88,1,18,100,103,106,109,151,112,130,139,145,148,151,UKP,151,U
