AT,start,low ,high,fumble,A,B,C,D,E,F,G,H,I ,J,UM,pattern,first,type
1,66,10,36,2,66,71,76,86,106,141,146,151,151,151,42G,I,141,IC
2,56,8,34,2,56,61,71,81,101,141,151,151,151,151,40G,i,141,IC
3,66,8,32,2,66,71,81,101,106,146,151,151,151,151,38G,I,146,IC
4,66,6,30,2,71,81,91,101,116,148,151,151,151,151,36G,i,148,IC
5,61,2,34,10,66,71,81,91,106,146,151,151,151,151,38G,i,146,IC
6,51,1,31,10,61,66,81,96,111,146,151,151,151,151,35G,i,146,IC
7,46,1,28,10,61,71,81,91,111,146,151,151,151,151,32F,i,146,IC
8,41,1,26,10,56,76,86,96,116,146,151,151,151,151,30F,i,146,IC
9,56,1,22,10,66,76,86,106,116,141,151,151,151,151,26G,i,141,IC
10,51,1,22,10,71,81,91,106,121,146,151,151,151,151,26G,i,146,IC
11,51,16,16,10,71,86,96,111,126,146,151,151,151,151,20F,i,146,IC
12,41,1,13,10,66,86,101,121,131,146,151,151,151,151,16F,i,146,IC
13,46,1,22,20,76,86,96,111,126,146,151,151,151,151,26G,i,146,IC
14,41,1,22,20,71,86,101,121,131,146,151,151,151,151,26G,i,146,IC
15,36,1,16,20,61,96,106,126,141,146,151,151,151,151,20G,i,146,IC
16,31,1,16,20,61,96,106,126,141,146,151,151,151,151,20G,i,146,IC
17,41,1,18,20,71,86,96,116,131,146,151,151,151,151,22G,i,146,IC
18,36,1,18,20,66,91,106,126,136,146,151,151,151,151,22G,i,146,IC
19,31,1,18,20,56,91,111,131,141,146,151,151,151,151,18F,i,146,IC
20,21,1,10,20,51,96,116,136,146,151,151,151,151,151,14F,i,151,IC
