AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,90,8,26,91,97,104,113,128,P,91,P
2,80,8,24,81,90,99,111,127,P,81,P
3,93,6,21,95,104,112,122,135,K,96,P
4,88,3,18,100,107,114,126,138,K,101,P
5,75,4,24,76,89,105,116,134,P,76,P
6,73,4,21,80,93,108,122,137,K,81,P
7,68,4,16,85,94,107,123,139,K,86,P
8,63,4,16,90,102,116,131,141,K,91,P
9,80,2,22,81,90,104,121,137,P,81,P
10,78,2,22,90,100,112,128,141,K,91,P
11,83,2,18,95,105,117,130,141,K,96,P
12,73,2,16,100,111,123,136,144,K,101,P
13,73,1,18,97,108,116,128,140,K,98,P
14,68,1,18,107,116,122,134,143,K,108,P
15,63,1,15,112,122,128,136,144,K,113,P
16,58,1,15,117,126,130,137,144,K,118,P
17,68,1,12,110,122,129,136,144,K,111,P
18,63,1,10,120,130,137,143,147,K,121,P
19,53,1,8,130,139,143,147,149,K,131,P
20,52,1,6,135,141,144,147,149,K,136,P
