AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,87,11,50,87,91,93,104,123,KP,101,P
2,76,10,48,77,81,85,100,121,PK,96,P
3,89,8,45,90,93,97,110,128,KP,106,P
4,89,5,42,90,93,96,111,129,KP,106,P
5,71,6,48,72,80,89,105,127,PSK,95,P
6,71,6,45,72,80,89,107,128,PSK,95,P
7,71,6,40,72,78,87,107,129,PSK,95,P
8,71,6,40,72,81,92,112,130,PSK,95,P
9,76,4,42,77,84,92,111,130,KP,106,P
10,79,4,42,80,87,94,113,131,KP,109,P
11,84,4,38,85,91,98,115,132,KP,112,P
12,81,4,36,82,90,98,116,132,KP,109,P
13,79,2,35,80,89,97,114,132,KP,115,P
14,81,2,35,82,91,98,117,134,KP,117,P
15,80,2,32,85,95,101,116,133,KP,118,P
16,75,2,32,90,99,104,118,134,KP,121,P
17,81,2,31,82,94,101,116,133,KP,137,P
18,80,2,29,90,101,108,122,136,KP,139,P
19,70,2,27,100,110,115,127,138,KP,141,P
20,60,2,25,105,112,116,127,138,KP,142,P
