AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,91,8,26,92,98,105,113,128,K,93,P
2,81,8,24,82,91,100,111,127,K,83,P
3,95,6,21,95,104,112,121,134,K,96,P
4,90,3,18,100,107,114,125,137,K,101,P
5,74,4,28,75,89,105,116,134,K,76,P
6,75,4,25,75,89,105,120,136,K,76,P
7,70,4,20,80,89,103,121,138,K,81,P
8,65,4,20,85,98,113,129,140,K,86,P
9,79,2,25,80,90,105,122,138,K,81,P
10,80,2,25,85,96,110,127,141,K,86,P
11,85,2,21,90,101,115,129,141,K,91,P
12,75,2,19,95,108,122,136,144,K,96,P
13,75,1,24,85,100,112,126,140,K,86,P
14,70,1,24,95,109,119,134,144,K,96,P
15,65,1,21,100,114,124,134,144,K,101,P
16,60,1,21,105,118,126,135,144,K,106,P
17,73,1,16,100,116,126,134,144,K,101,P
18,68,1,14,110,125,135,142,147,K,111,P
19,58,1,12,120,133,141,146,149,K,121,P
20,52,1,10,125,138,144,148,150,K,126,P
