AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,89,8,28,90,97,104,113,128,KP,91,P
2,79,8,26,80,88,97,109,126,KP,81,P
3,92,6,23,93,101,110,120,134,KP,94,P
4,93,3,20,93,102,110,123,136,KP,94,P
5,71,4,30,72,88,104,116,136,KP,73,P
6,71,4,27,72,85,102,118,135,KP,73,P
7,71,4,22,72,81,97,119,136,KP,73,P
8,68,4,22,77,92,109,127,139,KP,78,P
9,79,2,27,89,90,105,122,138,KP,90,P
10,80,2,27,82,94,108,126,140,KP,83,P
11,86,2,23,87,97,113,129,140,KP,88,P
12,78,2,21,92,104,119,134,143,KP,93,P
13,76,1,26,77,85,90,108,129,KP,78,P
14,73,1,26,87,94,98,115,132,KP,88,P
15,68,1,23,92,98,101,116,132,KP,93,P
16,63,1,23,97,102,105,118,133,KP,98,P
17,78,1,18,92,110,121,131,142,KP,93,P
18,73,1,16,102,120,131,140,146,KP,103,P
19,63,1,14,112,129,138,145,148,KP,113,P
20,53,1,12,117,130,138,145,148,KP,118,P
