AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,40,1,25,55,91,106,121,136,st,151,st
2,40,1,58,91,103,106,121,136,st,151,st
3,46,1,22,64,91,106,121,136,st,151,st
4,49,1,20,70,103,115,127,139,st,151,st
5,43,1,24,58,91,106,124,136,st,151,st
6,46,1,22,49,79,97,121,133,st,151,st
7,49,1,19,64,91,106,121,136,st,151,st
8,52,1,17,67,91,106,121,136,st,151,st
9,49,1,19,73,103,115,127,139,st,151,st
10,52,1,17,79,103,115,127,139,st,151,st
11,61,1,15,88,115,124,133,142,st,151,st
12,70,1,13,97,115,124,133,142,st,151,st
13,48,1,22,70,103,115,127,139,st,151,st
14,49,1,20,76,103,115,127,139,st,151,st
15,49,1,17,79,103,115,127,139,st,151,st
16,55,1,16,82,103,115,127,139,st,151,st
17,52,1,18,82,103,115,127,139,st,151,st
18,55,1,15,88,115,124,133,142,st,151,st
19,67,1,13,94,115,124,133,142,st,151,st
20,79,1,10,103,127,133,139,145,st,151,st
