AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,88,8,23,90,100,108,118,131,K,90,K
2,78,8,21,80,90,101,114,129,K,80,K
3,88,6,18,95,106,115,126,137,K,95,K
4,83,3,15,100,110,118,130,140,K,100,K
5,70,4,23,75,93,110,122,137,K,75,K
6,65,4,20,80,95,111,126,139,K,80,K
7,60,4,15,85,98,112,128,141,K,85,K
8,58,4,15,90,105,120,135,143,K,90,K
9,70,2,20,75,87,103,121,137,K,75,K
10,65,2,20,85,98,112,129,142,K,85,K
11,70,2,16,90,103,117,131,142,K,90,K
12,60,2,14,95,108,122,136,144,K,95,K
13,57,1,22,85,98,109,123,138,K,85,K
14,55,1,22,95,107,116,131,142,K,95,K
15,54,1,19,100,112,121,131,142,K,100,K
16,54,2,19,105,116,123,132,142,K,105,K
17,55,1,18,95,108,117,128,140,K,95,K
18,54,1,16,105,118,127,136,144,K,105,K
19,53,1,14,115,127,134,141,146,K,115,K
20,52,1,12,120,130,135,141,146,K,120,K
