AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,86,7,20,93,103,112,122,134,SP,128,P
2,76,7,18,83,95,106,118,131,SP,122,P
3,86,5,15,98,110,119,129,139,SP,129,P
4,81,2,12,103,114,122,133,141,SP,132,P
5,71,3,18,78,96,113,126,139,SP,115,P
6,66,3,15,83,100,116,130,141,PS,117,P
7,61,3,10,88,101,115,131,142,SP,119,P
8,56,3,10,93,109,123,137,144,SP,122,P
9,76,2,14,90,105,119,134,143,SP,115,P
10,71,2,14,100,114,126,139,146,SP,121,P
11,76,2,10,105,118,130,141,146,SP,124,P
12,66,2,8,110,123,134,144,148,SP,127,P
13,66,1,12,105,120,131,141,147,SP,114,P
14,61,1,12,115,128,136,145,149,SP,122,P
15,56,1,9,120,133,141,147,150,SP,127,P
16,54,1,9,125,137,143,148,150,SP,130,P
17,61,1,10,115,129,137,144,148,SP,118,P
18,56,1,8,125,136,143,148,150,SP,128,P
19,53,1,6,135,144,148,151,151,S,136,P
20,52,1,4,140,146,149,151,151,S,141,P
