AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,94,1,12,100,115,124,133,142,sw,151,sw
2,88,1,12,91,115,124,133,142,sw,151,sw
3,91,1,10,97,115,124,133,142,sw,151,sw
4,88,1,9,94,115,124,133,142,sw,151,sw
5,76,1,12,82,103,115,127,142,sw,151,sw
6,73,1,11,79,103,115,127,142,sw,151,sw
7,67,1,10,73,103,115,127,142,sw,151,sw
8,61,1,10,67,91,106,121,136,sw,151,sw
9,73,1,11,79,103,115,127,139,sw,151,sw
10,70,1,10,76,103,115,127,139,sw,151,sw
11,64,1,7,70,103,115,127,139,sw,151,sw
12,61,1,5,67,91,106,121,136,sw,151,sw
13,67,1,10,73,103,115,127,139,sw,151,sw
14,64,1,9,70,103,115,127,139,sw,151,sw
15,58,1,8,64,91,106,121,136,sw,151,sw
16,55,1,8,61,91,106,121,136,sw,151,sw
17,58,1,9,64,91,106,121,136,sw,151,sw
18,52,1,8,61,91,106,121,136,sw,151,sw
19,52,1,6,58,91,106,121,136,sw,151,sw
20,49,1,4,55,91,106,121,136,sw,151,sw
