AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,75,8,35,85,88,93,101,121,KP,137,K
2,65,8,33,75,80,88,100,120,KP,135,K
3,75,6,30,90,96,103,113,130,KP,138,K
4,70,3,27,95,100,105,117,132,KP,139,K
5,60,4,33,70,82,96,109,130,KP,134,K
6,58,4,30,75,85,99,115,133,KP,135,K
7,56,4,25,80,88,100,118,136,KP,136,K
8,55,4,25,85,97,110,126,138,KP,137,K
9,60,2,27,70,80,94,114,133,KP,134,K
10,58,2,27,80,91,103,122,138,KP,134,K
11,60,2,23,85,94,107,123,137,KP,137,K
12,56,2,21,90,100,113,129,140,KP,138,K
13,56,1,25,80,93,106,122,138,KP,136,K
14,55,1,25,90,102,113,122,142,KP,138,K
15,53,1,22,95,109,119,131,143,KP,139,K
16,53,2,22,100,113,121,132,143,KP,140,K
17,55,1,21,90,105,116,128,140,KP,138,K
18,53,1,19,100,116,126,136,144,KP,140,K
19,53,2,17,110,125,133,141,146,KP,142,K
20,52,1,15,115,126,133,141,146,KP,143,K
