AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,87,9,40,88,91,95,105,124,KPS,129,KS
2,77,9,38,78,83,89,102,122,PSK,128,SK
3,89,7,35,90,94,100,112,129,KPS,131,KS
4,86,4,32,95,99,103,116,132,SKP,130,SK
5,72,5,38,73,84,96,110,130,KPS,117,KS
6,71,5,35,75,86,98,114,132,KPS,119,KS
7,66,5,30,80,87,98,116,134,KPS,121,KS
8,61,5,30,85,95,107,124,137,KPS,123,KS
9,77,3,32,78,86,98,116,134,SKP,140,SK
10,76,3,32,85,95,106,123,138,KPS,141,KS
11,81,3,28,90,97,108,123,137,KPS,143,KS
12,71,3,26,95,104,115,129,140,SKP,142,SK
13,71,2,28,90,103,114,127,140,KPS,145,P
14,66,2,28,100,111,120,134,144,KPS,146,P
15,61,2,25,105,117,126,135,144,SKP,146,P
16,56,2,25,110,121,128,136,144,KPS,147,P
17,66,1,22,100,113,122,132,142,SKP,138,P
18,61,1,20,110,124,132,140,146,KPS,141,P
19,54,1,18,120,131,137,143,147,SKP,143,P
20,52,1,16,125,135,140,145,148,SKP,145,P
