AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,61,8,38,100,111,119,128,137,K,100,K
2,58,9,36,90,102,112,124,135,K,90,K
3,61,6,33,105,115,124,133,141,K,105,K
4,59,3,30,110,121,128,138,144,K,110,K
5,57,5,36,82,100,116,129,140,K,82,K
6,56,4,33,87,103,118,132,142,K,87,K
7,55,4,28,92,105,118,133,143,K,92,K
8,54,4,28,97,113,126,139,144,K,97,K
9,58,2,26,87,103,118,134,143,K,87,K
10,57,3,26,97,112,125,139,146,K,97,K
11,58,2,22,102,116,129,141,146,K,102,K
12,56,2,20,107,121,133,144,148,K,107,K
13,56,1,21,102,118,130,141,147,K,102,K
14,55,1,21,112,126,135,145,149,K,112,K
15,54,1,18,117,132,140,147,150,K,117,K
16,53,1,18,122,135,142,148,150,K,122,K
17,55,1,17,115,129,137,144,148,K,115,K
18,54,1,15,125,137,144,149,150,K,125,K
19,52,1,13,135,144,148,151,151,K,135,K
20,52,1,11,140,146,149,151,151,K,140,K
