AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,61,8,22,75,79,85,94,117,SP,106,P
2,57,8,20,65,72,81,94,117,SP,100,P
3,61,6,17,80,87,96,107,127,SP,109,P
4,59,3,14,85,90,97,111,130,SP,112,P
5,57,4,20,66,81,98,110,131,PS,100,P
6,56,4,17,71,84,101,116,134,PS,103,P
7,55,4,12,76,83,98,117,136,PS,106,P
8,54,4,12,81,94,110,127,139,PS,109,P
9,59,2,14,79,94,110,127,140,SP,100,P
10,57,2,14,89,104,118,134,144,SP,108,P
11,58,2,10,94,107,122,136,144,SP,111,P
12,56,2,8,99,113,127,140,146,SP,114,P
13,57,1,12,90,105,118,131,143,SP,103,P
14,56,1,12,100,115,126,139,147,SP,111,P
15,55,1,9,105,119,130,139,147,SP,114,P
16,54,1,9,110,123,132,140,147,SP,119,P
17,56,1,9,105,122,132,141,147,SP,114,P
18,55,1,7,115,129,138,146,149,SP,122,P
19,53,1,5,125,137,144,150,151,SP,130,P
20,52,1,3,130,140,146,151,151,SP,135,P
