AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,90,8,30,90,94,99,105,124,KS,115,S
2,80,8,28,80,85,93,104,123,KS,109,S
3,90,6,25,95,101,108,117,132,KS,118,S
4,85,3,22,100,105,110,121,135,KS,121,S
5,75,4,28,75,88,103,114,133,KS,120,S
6,70,4,25,80,91,106,120,135,KS,123,S
7,65,4,20,85,93,106,122,135,KS,124,S
8,60,4,20,90,102,116,131,141,KS,127,S
9,80,2,22,80,90,105,122,138,KS,129,S
10,75,2,22,90,100,113,129,142,KS,133,S
11,80,2,18,95,105,118,131,142,KS,134,S
12,70,2,16,100,110,123,136,144,KS,135,S
13,65,1,14,95,110,121,132,143,SK,150,K
14,60,1,14,105,118,127,139,147,SK,150,K
15,55,1,11,110,121,131,139,147,KS,150,K
16,55,1,11,115,125,133,140,147,SK,150,K
17,55,1,13,100,115,125,134,144,KS,134,K
18,55,1,8,110,126,135,143,148,KS,138,K
19,53,1,7,120,134,142,148,150,KS,140,K
20,52,1,7,125,136,143,148,150,KS,143,K
