AT,start,low ,high,fumble,A,B,C,D,E,F,G,H,I ,J,UM,pattern,first,type
1,61,1,14,20,71,106,151,151,151,151,151,151,151,151,18C,E,151,E
2,46,1,14,20,66,111,151,151,151,151,151,151,151,151,18C,E,151,E
3,61,1,12,20,81,131,151,151,151,151,151,151,151,151,17C,E,151,E
4,66,1,12,20,91,131,151,151,151,151,151,151,151,151,17C,E,151,E
5,71,1,12,20,81,121,151,151,151,151,151,151,151,151,17C,E,151,E
6,61,1,11,20,86,136,151,151,151,151,151,151,151,151,16C,E,151,E
7,51,1,10,20,91,141,151,151,151,151,151,151,151,151,14C,E,151,E
8,46,1,10,20,91,136,151,151,151,151,151,151,151,151,14C,E,151,E
9,76,1,11,20,86,126,151,151,151,151,151,151,151,151,16C,E,151,E
10,71,1,10,20,91,131,151,151,151,151,151,151,151,151,16C,E,151,E
11,71,1,8,20,96,141,151,151,151,151,151,151,151,151,14C,E,151,E
12,66,1,6,20,96,151,151,151,151,151,151,151,151,151,12C,E,151,E
13,51,1,14,20,81,106,151,151,151,151,151,151,151,151,18D,E,151,E
14,46,1,14,20,76,111,151,151,151,151,151,151,151,151,18D,E,151,E
15,36,1,12,20,71,111,151,151,151,151,151,151,151,151,17D,E,151,E
16,31,1,12,20,66,116,151,151,151,151,151,151,151,151,17D,E,151,E
17,46,1,14,20,76,11,151,151,151,151,151,151,151,151,18D,E,151,E
18,36,1,14,20,71,116,151,151,151,151,151,151,151,151,18D,E,151,E
19,31,1,10,20,66,116,151,151,151,151,151,151,151,151,16C,E,151,E
20,21,1,10,20,61,121,151,151,151,151,151,151,151,151,16C,E,151,E
