AT;start;low ;high;A;B;C;D;E;pattern;first;type
1;96;8;22;97;104;111;119;132;K;98;P
2;86;8;20;87;96;105;116;131;K;88;P
3;100;6;17;100;109;117;137;140;K;101;P
4;95;3;14;105;114;121;131;140;K;106;P
5;76;4;23;77;92;108;120;136;K;78;P
6;76;4;20;77;91;109;124;138;K;78;P
7;76;4;15;80;91;106;124;139;K;81;P
8;74;4;15;85;99;115;131;141;K;86;P
9;86;2;21;87;97;110;125;139;K;88;P
10;85;2;21;95;103;115;130;142;K;96;P
11;90;2;17;100;108;120;132;143;K;101;P
12;80;2;15;105;116;127;138;145;K;106;P
13;85;1;20;90;103;116;129;142;K;91;P
14;80;1;20;100;112;123;137;146;K;101;P
15;75;1;17;105;120;131;139;147;K;106;P
16;70;1;17;110;124;133;140;147;K;111;P
17;80;1;12;100;116;127;136;145;K;101;P
18;75;1;10;110;126;136;144;148;K;111;P
19;65;1;8;120;134;142;148;150;K;121;P
20;55;1;6;125;138;145;150;151;K;126;P
