AT;start;low ;high;A;B;C;D;E;pattern;first;type
1;70;8;26;80;88;96;106;124;KPS;111;S
2;60;8;24;70;79;90;104;123;KPS;127;S
3;70;6;21;85;94;104;116;132;SKP;119;S
4;65;3;18;90;99;107;121;135;KPS;127;S
5;56;4;24;70;88;105;118;135;KPS;119;S
6;53;4;21;75;89;106;122;137;SKP;146;S
7;47;4;16;80;91;106;124;140;SKP;150;S
8;40;4;16;85;99;115;131;141;KPS;151;S
9;65;2;17;80;93;108;125;139;SKP;143;S
10;60;2;17;90;103;116;132;143;KPS;141;S
11;65;2;13;95;106;120;134;143;KPS;136;K
12;56;2;11;100;114;126;137;145;SKP;150;S
13;60;1;13;100;114;126;137;145;SKP;150;S
14;56;1;13;110;123;132;143;148;KPS;146;K
15;50;1;10;115;128;137;144;149;SKP;137;K
16;47;1;10;120;132;139;145;149;KPS;131;K
17;56;1;11;110;124;133;141;147;KPS;150;K
18;50;1;9;120;132;140;145;149;KPS;147;K
19;40;1;7;130;140;146;150;151;SKP;141;K
20;30;1;5;135;144;148;151;151;SKP;138;K
