AT;start;low ;high;A;B;C;D;E;pattern;first;type
1;80;8;30;89;96;103;112;128;SP;120;P
2;70;8;28;79;87;97;109;126;PS;115;P
3;80;6;25;94;103;111;121;134;SP;123;P
4;75;3;22;99;106;113;125;137;SP;125;P
5;67;4;28;76;92;108;120;136;PS;106;P
6;62;4;25;81;95;110;124;138;PS;109;P
7;57;4;20;86;97;110;126;140;PS;112;P
8;52;4;20;90;104;118;132;142;PS;115;P
9;70;2;26;75;87;104;123;138;SP;98;P
10;65;2;26;85;97;112;130;142;SP;104;P
11;70;2;22;90;104;119;134;144;SP;109;P
12;60;2;20;95;110;125;138;145;SP;112;P
13;57;1;23;87;104;118;132;143;SP;100;P
14;52;1;23;97;113;125;140;147;SP;108;P
15;48;1;20;102;119;133;141;148;SP;111;P
16;45;1;20;107;123;133;142;148;SP;116;P
17;52;1;14;104;121;130;139;146;SP;109;P
18;48;1;12;114;130;139;146;149;SP;117;P
19;42;1;10;124;137;144;149;150;SP;127;P
20;42;1;8;129;139;145;150;151;SP;132;P
