AT,start,low ,high,TA,TB,TC,TD,TE,A,B,C,D,E,F,pattern,first,type
1,31,1,40,40,43,46,49,52,55,76,94,121,127,148,K,151,K
2,34,1,38,40,43,46,49,52,55,76,97,121,124,148,K,151,K
3,43,1,33,55,58,61,64,67,70,88,100,121,130,148,K,151,K
4,49,1,31,61,64,67,70,73,76,94,106,124,133,148,K,151,K
5,49,1,37,49,52,55,58,61,64,82,97,121,127,148,K,151,K
6,46,1,34,58,61,64,67,70,73,88,100,121,130,148,K,151,K
7,55,1,32,61,64,67,70,73,76,94,106,127,136,148,K,151,K
8,55,1,30,64,67,70,73,76,79,100,112,127,136,148,K,151,K
9,43,1,31,64,67,70,73,76,79,94,100,121,130,145,K,151,K
10,55,1,24,73,78,79,82,85,88,103,112,127,136,148,K,151,K
11,64,1,19,82,85,88,91,94,97,112,127,139,145,148,K,151,K
12,70,1,16,88,91,94,97,100,103,118,130,139,145,148,K,151,K
13,46,1,28,61,64,67,70,73,76,94,103,127,133,148,K,151,K
14,49,1,22,70,73,76,79,82,85,103,115,133,142,148,K,151,K
15,55,1,18,79,82,85,88,91,94,109,124,136,145,148,K,151,K
16,58,1,18,82,85,88,91,94,97,115,127,139,145,148,K,151,K
17,49,1,26,70,73,76,79,82,85,100,109,127,133,148,K,151,K
18,55,1,20,79,82,85,88,91,94,121,124,136,145,148,K,151,K
19,67,1,18,82,85,88,91,94,97,115,130,139,145,148,K,151,K
20,79,1,14,91,94,97,100,103,106,121,133,139,145,148,K,151,K
