AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,85,8,26,90,95,101,109,126,KP,150,K
2,75,8,24,80,87,95,106,124,KP,150,K
3,85,6,21,95,103,110,119,133,PK,150,K
4,80,3,18,100,106,112,123,136,KP,150,K
5,65,4,25,70,85,102,114,133,KP,150,K
6,60,4,22,75,89,105,120,136,PK,150,K
7,58,4,17,80,90,104,121,138,KP,150,K
8,56,4,17,85,100,115,127,141,PK,150,K
9,65,2,24,75,85,100,118,135,PK,150,K
10,60,2,24,85,95,108,125,137,PK,150,K
11,65,2,20,90,100,113,127,139,KP,150,K
12,58,2,18,95,106,119,133,142,PK,150,K
13,58,1,22,80,94,105,121,137,KP,150,K
14,57,1,22,90,102,111,128,140,KP,150,K
15,55,1,19,95,107,116,128,140,PK,150,K
16,54,1,19,100,112,119,130,141,KP,150,K
17,57,1,18,90,105,114,126,139,KP,150,K
18,55,1,16,100,113,122,133,142,KP,150,K
19,53,1,14,110,122,129,138,144,KP,150,K
20,52,1,12,115,125,130,138,144,PK,150,K
