AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,86,9,42,87,89,93,104,122,K,87,K
2,76,9,40,77,82,88,102,122,K,77,K
3,89,7,37,90,94,100,112,129,K,90,K
4,89,4,34,90,94,98,113,130,K,90,K
5,71,5,41,72,84,96,111,130,K,72,K
6,71,5,38,72,82,95,112,131,K,72,K
7,71,5,33,72,80,92,112,132,K,72,K
8,68,5,33,77,88,102,121,135,K,77,K
9,74,3,36,75,84,96,115,133,K,75,K
10,77,3,36,78,87,98,118,135,K,78,K
11,82,3,32,83,92,103,120,135,K,83,K
12,76,3,30,85,96,108,125,138,K,85,K
13,74,2,33,75,86,95,113,132,K,75,K
14,69,2,33,85,96,103,121,136,K,85,K
15,64,2,30,90,100,107,121,136,K,90,K
16,59,2,30,95,104,109,122,136,K,95,K
17,69,2,29,82,95,103,118,134,K,82,K
18,64,2,27,92,103,111,125,137,K,92,K
19,55,2,25,102,113,119,130,140,K,102,K
20,52,2,23,107,116,120,131,140,K,107,K
