AT,start,low ,high,fumble,A,B,C,D,E,F,G,H,I ,J,UM,pattern,first,type
1,61,1,26,2,76,91,106,151,151,151,151,151,151,151,30E,W,151,W
2,56,1,24,2,66,81,101,151,151,151,151,151,151,151,28E,W,151,W
3,71,1,22,2,86,106,121,151,151,151,151,151,151,151,26E,W,151,W
4,76,1,20,2,91,111,131,151,151,151,151,151,151,151,24E,W,151,W
5,66,1,24,10,86,96,111,151,151,151,151,151,151,151,28E,W,151,W
6,56,1,20,10,81,91,116,151,151,151,151,151,151,151,24E,W,151,W
7,51,1,18,10,81,96,121,151,151,151,151,151,151,151,22E,W,151,W
8,46,1,18,10,76,101,126,151,151,151,151,151,151,151,22E,W,151,W
9,71,1,16,10,86,101,121,151,151,151,151,151,151,151,20E,W,151,W
10,66,1,15,10,91,106,131,151,151,151,151,151,151,151,18E,W,151,W
11,66,1,10,10,91,111,141,151,151,151,151,151,151,151,13E,W,151,W
12,61,1,8,10,86,126,151,151,151,151,151,151,151,151,11E,W,151,W
13,61,1,16,20,91,106,131,151,151,151,151,151,151,151,20E,W,151,W
14,56,1,15,20,86,111,136,151,151,151,151,151,151,151,18E,W,151,W
15,51,1,11,20,81,126,141,151,151,151,151,151,151,151,14E,W,151,W
16,46,1,11,20,81,126,141,151,151,151,151,151,151,151,14E,W,151,W
17,56,1,14,20,91,111,131,151,151,151,151,151,151,151,17E,W,151,W
18,51,1,13,20,86,121,141,151,151,151,151,151,151,151,16E,W,151,W
19,46,1,9,20,86,131,146,151,151,151,151,151,151,151,12E,W,151,W
20,41,1,7,20,81,141,151,151,151,151,151,151,151,151,10E,W,151,W
