AT,start,low ,high,fumble,A,B,C,D,E,F,G,H,I ,J,UM,pattern,first,type
1,61,1,26,2,76,91,106,151,151,151,151,151,151,151,30E,I,151,I
2,56,1,24,2,66,81,101,151,151,151,151,151,151,151,28E,I,151,I
3,71,1,22,2,86,106,121,151,151,151,151,151,151,151,26E,I,151,I
4,76,1,20,2,91,111,131,151,151,151,151,151,151,151,24E,I,151,I
5,66,1,24,10,86,96,111,151,151,151,151,151,151,151,28E,I,151,I
6,56,1,20,10,81,91,116,151,151,151,151,151,151,151,24E,I,151,I
7,51,1,18,10,81,96,121,151,151,151,151,151,151,151,22E,I,151,I
8,46,1,18,10,76,101,126,151,151,151,151,151,151,151,22E,I,151,I
9,71,1,16,10,86,101,121,151,151,151,151,151,151,151,20E,I,151,I
10,66,1,15,10,91,106,131,151,151,151,151,151,151,151,18E,I,151,I
11,66,1,10,10,91,111,141,151,151,151,151,151,151,151,13E,I,151,I
12,61,1,8,10,86,126,151,151,151,151,151,151,151,151,11E,I,151,I
13,61,1,16,20,91,106,131,151,151,151,151,151,151,151,20E,I,151,I
14,56,1,15,20,86,111,136,151,151,151,151,151,151,151,18E,I,151,I
15,51,1,11,20,81,126,141,151,151,151,151,151,151,151,14E,I,151,I
16,46,1,11,20,81,126,141,151,151,151,151,151,151,151,14E,I,151,I
17,56,1,14,20,91,111,131,151,151,151,151,151,151,151,17E,I,151,I
18,51,1,13,20,86,121,141,151,151,151,151,151,151,151,16E,I,151,I
19,46,1,9,20,86,131,146,151,151,151,151,151,151,151,12E,I,151,I
20,41,1,7,20,81,141,151,151,151,151,151,151,151,151,10E,I,151,I
