AT,start,low ,high,A,B,C,D,E,pattern,first,type
1,65,8,27,94,107,117,128,137,SUKGSKGSKGSKG ,150,S
2,59,8,25,84,99,111,124,135,SUKGSKGSKGSKG,150,G
3,65,6,22,99,112,122,133,141,SUKGSKGSKGSKG,150,G
4,61,3,19,104,116,125,136,143,SUKGSKGSKGSKG,150,S
5,57,3,18,80,99,116,130,141,KUGKGKGKGKGKGKGKGSG,150,K
6,56,3,15,85,103,119,134,143,KUGKGKGKGKGKGKGKGSG,150,K
7,55,3,10,90,105,119,135,144,KUGKGKGKGKGKGSK,150,G
8,54,3,10,95,111,125,139,145,KUGKGKGKGKGKGKSK,150,K
9,59,2,13,90,106,121,136,144,KUGKGKGKGKGKGKGK,150,G
10,57,2,13,100,114,127,141,147,KUGKGKGKGKGKGK,150,K
11,59,2,9,105,119,130,143,147,KUGKGKGKGKGKGK,150,K
12,56,2,7,110,123,134,145,148,KUGKGKGKGKGK,150,G
13,56,1,11,115,127,136,144,148,KUGKGKGKGKGK,150,K
14,55,1,11,125,135,141,148,150,KUGKGKGKGK,150,K
15,54,1,8,130,138,143,148,150,KUGKGKGK,150,K
16,54,1,8,135,143,147,150,151,KUGKGKGK,150,K
17,55,1,8,125,136,142,147,149,KUGKGKGKGKG,150,G
18,54,1,6,135,143,147,150,151,KUGKGKGK,150,K
19,53,1,4,145,149,150,151,151,KUG,148,K
20,52,1,2,150,151,151,151,151,K,150,K
