crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,Foe avoids most of the attack.,0,0,0,0,0,-1,0,0,0,,,
A,10,Strike failed to connect well.,1,0,0,0,0,-1,0,0,0,,,
A,15,Strike causes foe to flinch. You gain initiative next round.,1,0,0,0,0,-1,0,0,0,,,
A,20,Foe steps back defensively.,1,0,0,0,0,-1,0,0,1,,,
A,35,,0,0,0,0,0,-1,0,0,0,,,
A,45,,0,0,0,0,0,-1,0,0,0,,,
A,50,,0,0,0,0,0,-1,0,0,0,,,
A,55,,0,0,0,0,0,-1,0,0,0,,,
A,60,,0,0,0,0,0,-1,0,0,0,,,
A,65,,0,0,0,0,0,-1,0,0,0,,,
A,66,,0,0,0,0,0,-1,0,0,0,,,
A,70,,0,0,0,0,0,-1,0,0,0,,,
A,75,,0,0,0,0,0,-1,0,0,0,,,
A,80,,0,0,0,0,0,-1,0,0,0,,,
A,85,,0,0,0,0,0,-1,0,0,0,,,
A,90,,0,0,0,0,0,-1,0,0,0,,,
A,95,,0,0,0,0,0,-1,0,0,0,,,
A,99,,0,0,0,0,0,-1,0,0,0,,,
A,100,,0,0,0,0,0,-1,0,0,0,,,
B,5,,0,0,0,0,0,-1,0,0,0,,,
B,10,,0,0,0,0,0,-1,0,0,0,,,
B,15,,0,0,0,0,0,-1,0,0,0,,,
B,20,,0,0,0,0,0,-1,0,0,0,,,
B,35,,0,0,0,0,0,-1,0,0,0,,,
B,45,,0,0,0,0,0,-1,0,0,0,,,
B,50,,0,0,0,0,0,-1,0,0,0,,,
B,55,,0,0,0,0,0,-1,0,0,0,,,
B,60,,0,0,0,0,0,-1,0,0,0,,,
B,65,,0,0,0,0,0,-1,0,0,0,,,
B,66,,0,0,0,0,0,-1,0,0,0,,,
B,70,,0,0,0,0,0,-1,0,0,0,,,
B,75,,0,0,0,0,0,-1,0,0,0,,,
B,80,,0,0,0,0,0,-1,0,0,0,,,
B,85,,0,0,0,0,0,-1,0,0,0,,,
B,90,,0,0,0,0,0,-1,0,0,0,,,
B,95,,0,0,0,0,0,-1,0,0,0,,,
B,99,,0,0,0,0,0,-1,0,0,0,,,
B,100,,0,0,0,0,0,-1,0,0,0,,,
C,5,,0,0,0,0,0,-1,0,0,0,,,
C,10,,0,0,0,0,0,-1,0,0,0,,,
C,15,,0,0,0,0,0,-1,0,0,0,,,
C,20,,0,0,0,0,0,-1,0,0,0,,,
C,35,,0,0,0,0,0,-1,0,0,0,,,
C,45,,0,0,0,0,0,-1,0,0,0,,,
C,50,,0,0,0,0,0,-1,0,0,0,,,
C,55,,0,0,0,0,0,-1,0,0,0,,,
C,60,,0,0,0,0,0,-1,0,0,0,,,
C,65,,0,0,0,0,0,-1,0,0,0,,,
C,66,,0,0,0,0,0,-1,0,0,0,,,
C,70,,0,0,0,0,0,-1,0,0,0,,,
C,75,,0,0,0,0,0,-1,0,0,0,,,
C,80,,0,0,0,0,0,-1,0,0,0,,,
C,85,,0,0,0,0,0,-1,0,0,0,,,
C,90,,0,0,0,0,0,-1,0,0,0,,,
C,95,,0,0,0,0,0,-1,0,0,0,,,
C,99,,0,0,0,0,0,-1,0,0,0,,,
C,100,,0,0,0,0,0,-1,0,0,0,,,
D,5,,0,0,0,0,0,-1,0,0,0,,,
D,10,,0,0,0,0,0,-1,0,0,0,,,
D,15,,0,0,0,0,0,-1,0,0,0,,,
D,20,,0,0,0,0,0,-1,0,0,0,,,
D,35,,0,0,0,0,0,-1,0,0,0,,,
D,45,,0,0,0,0,0,-1,0,0,0,,,
D,50,,0,0,0,0,0,-1,0,0,0,,,
D,55,,0,0,0,0,0,-1,0,0,0,,,
D,60,,0,0,0,0,0,-1,0,0,0,,,
D,65,,0,0,0,0,0,-1,0,0,0,,,
D,66,,0,0,0,0,0,-1,0,0,0,,,
D,70,,0,0,0,0,0,-1,0,0,0,,,
D,75,,0,0,0,0,0,-1,0,0,0,,,
D,80,,0,0,0,0,0,-1,0,0,0,,,
D,85,,0,0,0,0,0,-1,0,0,0,,,
D,90,,0,0,0,0,0,-1,0,0,0,,,
D,95,,0,0,0,0,0,-1,0,0,0,,,
D,99,,0,0,0,0,0,-1,0,0,0,,,
D,100,,0,0,0,0,0,-1,0,0,0,,,
E,5,,0,0,0,0,0,-1,0,0,0,,,
E,10,,0,0,0,0,0,-1,0,0,0,,,
E,15,,0,0,0,0,0,-1,0,0,0,,,
E,20,,0,0,0,0,0,-1,0,0,0,,,
E,35,,0,0,0,0,0,-1,0,0,0,,,
E,45,,0,0,0,0,0,-1,0,0,0,,,
E,50,,0,0,0,0,0,-1,0,0,0,,,
E,55,,0,0,0,0,0,-1,0,0,0,,,
E,60,,0,0,0,0,0,-1,0,0,0,,,
E,65,,0,0,0,0,0,-1,0,0,0,,,
E,66,,0,0,0,0,0,-1,0,0,0,,,
E,70,,0,0,0,0,0,-1,0,0,0,,,
E,75,,0,0,0,0,0,-1,0,0,0,,,
E,80,,0,0,0,0,0,-1,0,0,0,,,
E,85,,0,0,0,0,0,-1,0,0,0,,,
E,90,,0,0,0,0,0,-1,0,0,0,,,
E,95,,0,0,0,0,0,-1,0,0,0,,,
E,99,,0,0,0,0,0,-1,0,0,0,,,
E,100,,0,0,0,0,0,-1,0,0,0,,,
