crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,Feeble. You're getting old.,0,0,0,0,0,-1,0,0,0,,,
A,10,You hit Foes forehead.,1,0,0,0,0,-1,0,0,0,,,
A,15,Push foe with the punch. You receive initiative next round.,1,0,0,0,0,-1,0,0,0,,,
A,20,Foe steps aside unbalanced.You gain the initiative next round.,2,0,0,0,0,-1,0,0,0,,,
A,35,Good placement. You gain the initiative for the next two rounds.,3,0,0,0,0,-1,0,0,0,,,
A,45,Slight abrasion. You gain the initiative for the next two rounds.,4,0,0,0,0,-1,0,0,0,,,
A,50,Glancing blow to Foes back. You gain the initiative for the next three rounds.,5,0,0,0,0,-1,0,0,0,,,
A,55,Strike lands solid to the chest. Foe leaps back on the defensive.,5,0,0,0,0,-1,0,0,1,,,
A,60,Foe kicks out at you and you strike his leg in response.,5,0,0,0,1,-1,0,0,0,,,
A,65,Arm strike gives foe a bruised bicep. You are cruel.,6,0,-25x1,0,0,-1,0,0,1,,,
A,66,Grapple Foes weapon arm and jerk his weapon free. Foe goes twisting and spinning out of your grasp.,8,0,-15,0,6,-1,0,0,0,,,tendons
A,70,Blow to abdomen. Foe bends over and throws up.,4,0,0,0,2,-1,0,2,0,,,
A,75,Leg strike damages muscle and sends foe stumbling back.,6,0,0,0,3,-1,0,0,0,,,
A,80,"Blow to Foes shield arm. If foe has anything that resembles a shield, it is broken.",8,0,0,0,2,-1,0,2,0,,,
A,85,Precision strike to Foes arm disarms him. Weapon hand is fractured. Foe is in pain.,8,0,-25,0,2,-1,0,2,0,,,bones
A,90,Two brutal punches to Foes face. This barrage leaves foe confused and swinging in the wrong direction.,8,0,0,25x1,3,-1,0,3,0,,,
A,95,Head strike breaks Foes nose. Appearance drops by 5 due to black eyes.,10,0,-25,0,3,-1,0,3,0,,,bones
A,99,Blow to solar plexus causes foe to vomit. He falls to his knees. Foe is unable to do anything but retch. Do you have pity?,10,0,0,0,0,-1,0,0,0,,,
