crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,"Blast is frightful, but ineffective.",0,0,0,0,0,-1,0,0,0,,,
A,10,Sparks fly. Foe is illuminated by blast.,1,0,0,0,0,-1,0,0,0,,,
A,15,Bolt reaches for foe but then grounds out. You have initiative.,2,0,0,0,0,-1,0,0,0,,,
A,20,Foe flinches from the static in the air. You have the initiative.,3,0,0,0,0,-1,0,0,0,,,
A,35,Foe recoils from thundering sound of the blast. He loses 2 rounds initiative.,4,0,0,0,0,-1,0,0,0,,,
A,45,"Blast almost misses, but it grounds into foe's weapon arm.",5,0,0,0,0,-1,0,0,1,,hits:7;stunned:1;parry:1,
A,50,Small bits of electrical energy chase around foe's body. Foe makes a futile effort to throw them off.,2,1,0,0,0,-1,0,0,1,,,
A,55,Direct sizzling blast to foe's shoulder. It grounds out and leaves foe dazed.,6,0,0,0,1,-1,0,0,0,,,
A,60,Foe is jerked off balance by the strike and has trouble regaining footing.,7,0,0,0,0,-1,0,0,3,,,
A,65,Well placed. Strike slams into foe's weapon arm. Foe's evasion is comical.,3,0,0,0,2,-1,0,0,0,,hits:7;stunned:1,
A,66,Disrupt the beating of foe's heart for a moment. Reflexes strain muscles. Foe is knocked down.,0,0,0,0,3,-1,0,0,0,,,
A,70,Blast climbs up foe's side and sends him stumbling back 5 feet. He blocks his face against a renewed assault.,7,0,0,0,1,-1,0,0,1,,,
A,75,Your attack infects foe with electrical energy. It dances all over him. It takes some time for him to recover.,8,0,-5,0,3,-1,0,0,0,,,
A,80,"Electrify foe's shield side. Foe finds little protection behind his shield. Hopefully, it contains no metal.",6,0,0,0,1,-1,0,1,0,,hits:9;stunned:2;no_parry:2,
A,85,Blast goes right into foe's back and he vibrates. He is unaware of much around him for a moment. He flails his weapon around.,12,0,0,0,2,-1,0,2,0,,,
A,90,Assault to foe's lower leg fuses metal and burns much. Foe falls. One leg is paralyzed if metal greaves are worn.,15,0,0,0,2,-1,0,2,0,,hits:15;stunned:3;no_parry:3,
A,95,Strike arcs up into foe's hip. Garments catch fire. Shock and nerve damage inflicted.,0,0,-50,0,3,-1,0,0,0,,,nerves
A,99,Foe's loses consciousness from the blast. His convulsions keep him standing 1 round.,10,0,0,0,12,-1,12,0,0,,,nerves
A,100,Foe's head is ablaze. Garments catch fire. Foe falls unconscious and dies in 6 rounds from nerve damage.,20,0,0,0,0,6,6,0,0,,,nerves
B,5,Your strike's energy is poorly aimed.,0,0,0,0,0,-1,0,0,0,,,
B,10,Foe's hair stands on end. Frightening!,2,0,0,0,0,-1,0,0,0,,,
B,15,Mild jolt to foe's shoulder causes him to hesitate. You have initiative.,2,0,0,0,0,-1,0,0,0,,,
B,20,The blast of light and heat daunts foe. He looks away; you have initiative.,4,0,0,0,0,-1,0,0,0,,,
B,35,Flashes of light and sharp cracks. Foe's impressed.You have 2 rnds initiative.,5,0,0,0,0,-1,0,0,0,,,
B,45,Foe's side and back are entangled by blast. Foe is shaken.,2,1,0,0,0,-1,0,0,1,,,
B,50,"Strike hits foe's chest. Clothes smoke, then burn. Foe flails his arms trying to put them out.",6,0,0,0,0,-1,0,0,2,,,
B,55,Back strike throws equipment about. Minor burns to exposed skin.,7,2,0,0,1,-1,0,0,0,,,
B,60,"Blast heats up metal on foe, causing painful burns to contacting flesh.",8,0,0,0,2,-1,0,0,0,,hits:10;stunned:2;no_parry:2,
B,65,Foe's reflexes are numbed by blast. He is dazed and moving slowly.,9,0,0,0,1,-1,0,1,0,,,
B,66,Bright flash illumnates foe and jolts every muscle in his body. Foe's reflexes will flinch again in 10 rounds.,15,2,-20,0,3,-1,0,3,0,,,muscles/nerves
B,70,Strike lands on shoulder and streaks down back. Foe steps foward in failing attempt to duck. He is vulnerable.,10,0,0,0,2,-1,0,1,0,,,
B,75,Chest and arm blast damages organic armor. Metal armor will heat up painfully. Foe smells own hair burning.,0,0,0,0,4,-1,0,2,0,,hits/rnd:3;stunned:4;no_parry:2,
B,80,Abdomen entangled by a great electrical serpent. Foe is knocked down; the beast disappears. with abdom. armor,15,0,0,0,2,-1,0,1,0,,hits:11;hits/rnd:2,
B,85,The shock turns foe's reflexes against his muscles. Tendons are torn during foe's violent convulsions. The poor fool.,13,0,0,0,3,-1,0,3,0,,,
B,90,Blast lands on leg with unusual force. Simple leg fracture if he wears armor; a compound fracture if not.,0,1,0,0,6,-1,0,6,0,,stunned:6;mod:-50,bones
B,95,Jolt blinds foe for 2 days and sends him crashing to the ground. He is badly dazed and helpless while the blindness lasts (2 to 10 days).,0,0,0,0,9,-1,43200,0,0,,,
B,99,Strike overloads foe's nervous system. His heart stops and restarts several times. He drops and dies in 9 rounds.,15,0,0,0,0,9,9,0,0,,,organs/nerves
B,100,"Foe's insides heat up and burn, destroying nerves and organs alike. Foe drops and dies instantly.",0,0,0,10,0,0,0,0,0,,,
C,5,Strike's energy soaks into the ground.,1,0,0,0,0,-1,0,0,0,,,
