crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,Foe escapes like the wind,0,0,0,0,0,-1,0,0,0,,,
A,10,Grab foes arm. Oops. Try again,0,0,0,0,0,-1,0,0,0,,,
A,15,You impede foes combat stance. You have the initative.,0,0,0,0,0,-1,0,0,0,,,
A,20,Foe breaks free if a wear grip. You have Initative next round.,0,0,0,0,0,-1,0,0,0,,,
A,35,Almost get a grip on foes arm. He avoids his mistake. You gain initiative next round.,3,0,0,0,0,-1,0,0,0,,,
A,45,Grip to lower back. Foe wards off you attack and prepares for your next move.,0,0,0,0,0,-1,0,0,1,,,
A,50,Hinder foes weapon arm. Foe vioentliy frees himself and takes a defensive stance.,0,0,0,0,0,-1,0,0,1,,,
A,55,Youg get in close and grab at foes hair. He is daunted and steps back to escape your reach.,0,0,-20,0,0,-1,0,0,1,,,
A,60,Foe spins away and comes back to face you. He is unbalanced.,3,0,0,0,1,-1,0,0,0,,,
A,65,Grip to arm gives foe a bruised bicep. Foe shakes free and prepares for your assault.,3,0,-20,0,0,-1,0,0,1,,,muscle
A,66,"Strike foes weapon, disarming him. Foe fails to recover weapon. He has put himself in a bad spot.",3,0,0,0,2,-1,0,0,0,,,
A,70,"Passing chest strike. Foe eludes grapple, keeps defensive stance.",0,0,-20,0,0,-1,0,0,2,,,
A,75,Grab an exposed garnment. Uneasy grip impedes foes actions.,5,0,-50x2,0,0,-1,0,0,0,,,
A,80,"Grapple foes shield arm. If hoe has shield, you pull it down. If foe has no schield, you immobilize his arm.",2,0,-50x4,0,0,-1,0,0,0,,,
A,85,Useful grip on foes neck. Foes face turns red. Hecannot breath easily. Slowly he breaks you grip.,5,0,-25x2,0,2,-1,0,0,0,,,
A,90,"grasp foes leg, lifting it off the ground for a moment. You have the initative for 6 rounds",3,0,0,0,3,-1,0,0,0,,,
A,95,Entangle foes leg. Foe is knocked down. Foe lands on his weapon arm. He kicks and breaks free.,4,0,0,0,2,-1,0,2,0,,,
A,99,"Ride foe down and immobilze him. He can do nothing for 12 rounds. You are prone also, while holding him down",0,0,0,0,0,-1,12,0,0,,,
A,100,Foes legs are entrangle long enough to make him fall. He is knocked out for 5 rounds,9,0,0,20,0,-1,5,0,0,,,
B,5,Your attack falls short,0,0,0,0,0,-1,0,0,0,,,
B,10,your grip fails.,2,0,0,0,0,-1,0,0,0,,,
B,15,Foe collides wir your attack before you get a grip. Small bruise.,2,0,0,0,0,-1,0,0,0,,,
B,20,Grab foe and give him a weak punch. He thinks you are dangerous.,0,0,0,0,0,-1,0,0,1,,,
B,35,you grip foes shield arm. Foes strike toward your head makes you let go of him. He keeps a distance.,0,0,-20,0,0,-1,0,0,1,,,
