crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,The air around foe shimmers. Pfft.,0,0,0,0,0,-1,0,0,0,,,burn
A,10,Hot wind makes foe uncomfortable.,1,0,0,0,0,-1,0,0,0,,,burn
A,15,Foe covers his face and leaps aside. You have initiative.,2,0,0,0,0,-1,0,0,0,,,burn
A,20,Blast stings foe's hands and arms. You have the initiative.,3,0,0,0,0,-1,0,0,0,,,burn
A,35,Foe's chest and side heat up and garments smolder from assault. He will be easily kindled if you strike again.,4,0,0,0,1,-1,0,0,0,,,burn
A,45,Hot winds dance around foe parching his exposed skin. He puts up a desperate defence.,6,0,0,0,0,-1,0,0,1,,,burn
A,50,"Clothes smoke, then burn. Foe flails his arms trying to put them out. The pain edures longer than the flames.",7,1,0,0,0,-1,0,0,1,,,burn
A,55,Spark sets a piece of foe's equipment on fire. Foe must remove the item.,8,1,0,0,0,-1,0,0,2,,,burn
A,60,Assault ignites foe's back. Equipment crackles as it burns and falls clear.,9,2,0,0,1,-1,0,0,0,,,burn
A,65,Well placed. Strike slams into foe's weapon arm. Garments are burned. Foe's evasion is comical.,7,1,0,0,0,-1,0,0,0,arm ,hits:10;hits/rnd:3,burn
A,66,Flame grapples foe's shield and chest. The wound is grave and infection will follow.,9,0,-15,0,2,-1,0,2,0,,,burn
A,70,Toast foe's side and send him stumbling back 5 feet away from you. He blocks his face against any renewed assault.,8,2,-5,0,2,-1,0,0,0,,,burn
A,75,Fire consumes garments and hair. Blinding smoke keeps foe's defenses poorly aligned.,12,0,0,0,1,-1,0,1,0,,,burn
A,80,Foe's shield side engulfed in flame. Foe's shield but it will be kindled if wooden.,10,2,0,0,2,-1,0,1,0,,,burn
A,85,Foe exposes his back while evading the strike. Blast scorches a small wound in his shoulder blade.,8,2,-20,0,2,-1,0,0,0,,,burn
A,90,Assault to foe's lower leg consumes covering. Foe falls down. One leg is on fire.,10,0,-10x2,0,0,-1,0,0,0,,,burn
A,95,Blow to foe's head. If he has helmet it heats up like a furnace and must be painfully removed. Foe ears and cheeks are burned.,15,0,-10,0,3,-1,0,0,0,helm,hits:12;stunned:2;no_parry:2;mod:-30,burn
