crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,Foe rolls with the blow,0,0,0,0,0,-1,0,0,0,,,
A,10,"It looks solid, but foe is not hindered.",1,0,0,0,0,-1,0,0,0,,,
A,15,With great effort foe evades the damage. You have initiative.,2,0,0,0,0,-1,0,0,0,,,
A,20,Spin foe sideways. He recovers quickly. You have the initiative.,3,0,0,0,0,-1,0,0,0,,,
A,35,Your strike has some effect. Foe loses his balance and cannot regain a good stance. You have 2 rounds of initiative.,5,0,0,0,0,-1,0,0,0,,,
A,45,Foe must give ground or fall. He steps back 5 ft and goes low to avoid falling. He loses 2 rnds of initiative.,8,0,0,0,0,-1,0,0,0,,,
A,50,A solid shot unnerves foe and knocks him to the side. His recovery is slow. You have 3 rounds of initiative.,10,0,0,0,0,-1,0,0,0,,,
A,55,Bash to foe's side damages equipment unbalancing him. He stumbles about.,10,0,0,0,1,-1,0,0,0,,,
A,60,Foe's shield arm is roughed up. Foe puts his guard up and steps back. It is clear he is dazed.,10,0,0,0,1,-1,0,0,0,,,
A,65,Well placed. Strike slams into foe's weapon arm. Foe holds onto his weapon .,8,0,0,0,0,-1,0,0,1,,hits:12;stunned:1,muscles
A,66,Foe braced poorly for the impact. His knee is pressed backwards damaging muscles and tendons.,20,0,0,0,0,-1,0,0,1,,,muscles/tendons
A,70,Foe's evasion attempt exposes back and side. Impact causes foe to drop his guard and stumble to the side.,7,0,0,0,1,-1,0,1,0,,,
A,75,"Modest strike provides some excellent openings. If foe has a shield, it is out of position for 1 round.",10,0,0,0,2,-1,0,0,0,,,
A,80,Strke lands hard against foe's shield side. He almost loses his footing. Foe will fall against any nearby object.,6,0,0,0,1,-1,0,0,0,,hits:15;stunned:2;no_parry:1,muscles/tendons
A,85,Solid shot to foe's chest drives home a deep bruise. The wound is unforgiving. Ribs are cracked and cartilage is torn.,10,0,-25,0,0,-1,0,0,0,,,bones/cartilage
A,90,Assault to legs. Foe's balance is stolen. He falls to the ground. Foe's shin and knee are bashed against the ground.,8,0,0,0,2,-1,0,0,0,,hits:10;stunned:3;no_parry:3,
A,95,"Blow to foe's head. If he has a helmet, it is unseated and covers foe's eyes. If no helmet, foe is knocked out.",29,0,-50,0,3,-1,0,3,0,,hits:20;ooo:7000000,
A,99,"Blow lands hardest against foe's hip. The bone is fractured and foe falls down. Foe sprains wrist in the fall. When it rains, it pours.",20,0,-50,0,3,-1,0,3,0,,,bones
A,100,"Foe slams to ground from brutal strike. His rib cage is fractured. With armor, he is only knocked out; if no armor, foe dies in 3 rnds from internal bleeding.",25,0,0,0,0,-1,7000000,0,0,,hits:25;die:3,bones
B,5,Rattle foe a little. Bruise his elbow.,0,0,0,0,0,-1,0,0,0,,,
B,10,Bump foe in the chest. He loses a garment decoration.,2,0,0,0,0,-1,0,0,0,,,
B,15,Corrupt foe's sense of balance. He stumbles and loses the initiative.,4,0,0,0,0,-1,0,0,0,,,
B,20,Foe's response is quick enough to avoid serious damage.,2,0,0,0,0,-1,0,0,1,,,
B,35,Strike seeks foe's head. He blocks with his weapon and evades with shameless grace. He keeps his guard up.,5,0,0,0,0,-1,0,0,1,,,
B,45,Violent blow to shield side. Any shield is destroyed. Foe's side is bruised. He is still on his feet.,9,0,0,0,0,-1,0,0,1,,,
B,50,"Foe loses footing before being struck, but still avoids most of assault. A piece of equipment is knocked loose.",10,0,0,0,1,-1,0,0,0,,,
B,55,Smash foe to side. Foe still fights but footing is unfirm and armor is loose.,12,0,0,0,1,-1,0,0,0,,,
B,60,Foe's response is ungraceful. The strike slams his weapon arm into his side and pins it for the moment.,10,0,0,0,2,-1,0,0,0,,,
B,65,"Blow crashes into foe's chest. If he has chest armor, it is damaged. If not, he has terrible bruises and cracked ribs.",12,0,0,0,0,-1,0,0,2,,hits:10;stunned:1;no_parry:1,bones/cartilage
B,66,Fingers are entangled in the impact and broken. Foe's shield hand is useless. The swelling might go away in a day.,15,0,0,0,1,-1,0,1,0,,,
B,70,Blow to back flings foe to knees. He drops his weapon. He stands but his guard is down as he rearms himself.,12,0,0,0,1,-1,0,1,0,,,
B,75,Solid strike to shoulder numbs foe's senses and bruises muscles. Foe's sense of direction is off.,20,0,0,0,2,-1,0,1,0,,,nerves/muscles
B,80,Your irresistible blow sends foe onto his back. He drops his weapon. Foe has a variety of bruises.,12,0,0,0,0,-1,0,0,3,,hits:10;stunned:2;no_parry:2;mod_attacker:5,muscles
B,85,Brutal strike lands between foe's shoulder blades. Tendons and muscles sprain. Little is not painful for foe.,10,0,-25,0,2,-1,0,0,0,,,muscles/tendons
B,90,Strike flings its strength into foe's legs. Muscles are bruised and tendons are torn. Foe remains standing. One of foe's greaves comes off.,20,0,-50,0,3,-1,0,0,0,,hits:20;stunned:1;no_parry:1;mod:-20,muscles/tendons
B,95,"Strike hammers side of head. With helmet, foe is in coma for 2 weeks. If no helm, foe diesin 1-10 rnds.",25,0,0,0,0,-1,120960,0,0,,hits:25;die:5,bones/nerves
B,99,This sudden tempest breaks foe's neck. He cannot breath. He drops and dies after a futile 12 round struggle. Close his eyes.,25,0,0,0,0,12,0,0,0,,,
B,100,Bash in foe's side and a shoulder. The shoulder blade violently contacts foe's spine. Foe is paralyzed from the shoulder down. Foe is unhappy.,30,0,-150,0,0,-1,0,0,0,,,bones/nerves
C,5,Strike glances off foe. He presses on.,1,0,0,0,0,-1,0,0,0,,,
C,10,Foe turns to evade and gets hit in the backside. Little damage is done,3,0,0,0,0,-1,0,0,0,,,
C,15,Firm strike causes foe to step back and get his bearings.,3,0,0,0,0,-1,0,0,1,,,
C,20,Strong blow. Foe abandons any hope of the initiative and falls back.,4,0,0,0,0,-1,0,0,1,,,
C,35,Foe is unbalanced and can only manage some wild swings to protect himself for the moment.,8,0,0,0,0,-1,0,0,1,,,
C,45,Pitiless blow to foe's lower leg. Foe is desperate to defend himself while he regains his balance.,10,0,0,0,1,-1,0,0,0,,,
C,50,Foe's weapon arm is slammed into his chest. Foe almost falls. He steps back 5 feet and regains some footing.,12,0,0,5,0,-1,0,0,2,,,
C,55,"Hard strike to side, armor does not help. The bruise is deep and effective.",15,0,0,0,0,-1,0,0,2,,,
C,60,Strong bash hits foe low. His legs almost give with the pain. Foe recoils 5 feet away from your assault.,12,0,0,0,2,-1,0,0,0,,,
C,65,Crashing blow to foe's shoulder sends him over. He uses weapon arm to stay standing and cannot defend himself.,10,0,0,5,1,-1,0,1,0,,,
C,66,Blast breaks shield arm. He falls on his weapon arm and breaks his wrist. Both arms are useless. Talk about bad luck.,0,0,-90,0,3,-1,0,0,0,,,bones
C,70,A piece of solid equipment is jammed into foe's chest. The pain is sharp. It leaves a permanent bruise.,0,0,0,0,2,-1,0,1,0,,,
C,75,"Violent strike to foe's midsection. He falls, drops equipment, and is vulnerable while standing up.",10,0,0,10,2,-1,0,2,0,,,
C,80,Sweep foe onto his back. Foe must roll over to get up. Leg armor will slow him down. Minor fracture on lower leg.,5,0,-60x2,0,1,-1,0,0,0,,hits:15;stunned:1;mod:-25,bones
C,85,"Strike looks harmless. However, foe's collarbone is broken. He is furious with his fortune. The pain is real.",15,0,-25,0,1,-1,0,0,0,,,bones
C,90,"Blow fractures foe's thigh. Foe does not fall down, but he cannot walk until the leg has a splint. This is a good opportunity to practice your first aid.",20,0,-60,0,2,-1,0,2,0,,,bones
C,95,Force of attack breaks foe's knee and sends him down. He can't get up unassisted. He considers surrendering.,20,0,-75,0,9,-1,0,9,0,,,bones
C,99,Savage impact ruptures internal organs and breaks many bones. Foe falls and dies..,50,0,0,0,0,1,0,0,0,,,organs
C,100,Foe's head is in the middle of this tumult. Foe dies instantly. His skull is crushed and a few other bones are also broken in his fall.,0,0,0,10,0,0,0,0,0,,,bones/nerves
D,5,Strike lands without force. Foe is up.,2,0,0,0,0,-1,0,0,0,,,
D,10,Wild assault to shoulder fails to connect with foe.,4,0,0,0,0,-1,0,0,0,,,
D,15,Strike to chest is not hard but it is well placed. Foe steps back 5 feet.,4,0,0,0,0,-1,0,0,1,,,
D,20,Foe starts stepping away from the assault before it hits his legs.,6,0,0,0,0,-1,0,0,1,,,
D,35,Blow almost sends foe down. He strikes the ground with his weapon while trying to regain his balance.,10,0,0,0,0,-1,0,0,1,,,
D,45,Boom! Foe is hammered by an effective strike to his back. He looks to be recovering. Minor bruises.,12,0,0,0,2,-1,0,0,0,,,muscles
D,50,Foe is shaken and steps back 5 feet for the next 2 rounds. If he cannot step back he falls down.,5,0,0,0,0,-1,0,0,2,,,
D,55,Batter foe. He fumbles his weapon grip. He notices little else right now.,0,0,0,5,1,-1,0,1,0,,,
D,60,"Concussion bruises skin and batters ribs. Foe is numb, unable to feel the damage. He thinks wound is mortal.",0,0,-10,0,2,-1,0,2,0,,,bones/muscles
D,65,"Lay waste to foe's shield arm. Any shield in use takes some of the damage, but is destroyed by impact.",5,0,-10x3,0,1,-1,0,0,0,,hits:10;stunned:2;no_parry:1,
D,66,Snap foe's head back. Foe falls unconscious onto ground breaking a leg and hand. Without helm he dies .,0,0,-100,0,0,-1,7000000,0,0,,die:0,bones/nerves
D,70,"Foe is knocked down. He lands on his equipment, and drops his weapon. He cannot get up for 2 rounds.",15,0,0,5,0,-1,0,0,0,,,
D,75,Strike at foe's legs. Foe wisely leaps back from the strike. Both shins and knees are bruised his ankle is broken.,8,0,-20x2,0,0,-1,0,0,0,,,
D,80,Fold up foe's weapon arm and snap it against his body like a twig. His arm is useless. Boy that must hurt!,10,0,0,0,1,-1,0,0,0,,,
D,85,Impact to face and chest knocks out teeth and breaks ribs. Foe is dazed and stands immobile for 3 rounds.,20,0,0,0,0,-1,3,0,0,,,
D,90,Onslaught to foe's midsection. Organs are damaged and foe throws up blood. Foe's abdomen is seriously damaged. He falls and should not be moved.,0,0,0,0,12,-1,0,0,0,,die:6,organs
D,95,"Foe's face, jaw and neck shatter. He stumbles back a few steps. He falls and dies after 3 rounds of inactivity. Sad.",50,0,0,0,0,3,0,0,0,,,bones/nerves
D,99,"Bash in foe's side. Bones are broken by the concussion. One of them is driven into a kidney. Foe goes into shock, drops, and dies in 8 rounds.",25,0,0,0,0,8,8,0,0,,,organs
D,100,Crush foe's lungs and heart with an irresistible onslaught. The impact slams foe to the ground and he dies a moment later.,0,0,0,25,0,0,0,0,0,,,organs
E,5,How foe evaded that blow is a mystery.,3,0,0,0,0,-1,0,0,0,,,
E,10,Foe is unbalanced and gives ground to regain his footing.,2,0,-15x2,0,0,-1,0,0,0,,,
E,15,"Foe staggers back and trips, making things worse for him.",6,0,0,0,1,-1,0,0,0,,,
E,20,Foe fails to avoid some of the attack and almost falls down.,9,0,0,0,1,-1,0,0,0,,,
E,35,Foe reels from this deadly strike. He avoids death but not damage. His side is badly bruised.,15,0,0,0,1,-1,0,0,0,,,
E,45,Hammer foe in shoulder. He falls 10 feet and spuins around. He stumbles another 5 ft before regaining control.,15,0,-15x2,0,2,-1,0,0,0,,,
E,50,Foe is lifted off the ground and thrown back five feet. Amazingly he does not fall. His guard is down.,20,0,0,0,1,-1,0,1,0,,,
E,55,"Foe tries to withstand blow, but goes down. He takes 2 rnds to stand.",20,0,0,40x2,0,-1,0,0,0,,,
E,60,"Impact scatters unattached equipment. Shield, helmet, and any weapons go flying. Foe then falls down.",20,0,0,0,2,-1,0,2,0,,,
E,65,Your strike vandalizes foe's sense of balance and he crashes to the ground. His legs and pride are bruised.,20,0,0,0,3,-1,0,3,0,,,
E,66,Head strike. Foe's skull is crushed. Any helmet worn is driven into the side of foe's head.,0,0,0,0,0,0,0,0,0,,,bones/nerves
E,70,Strike impacts along thigh. Leg is twisted and muscles pulled. Foe jams a finger during the struggle.,15,0,-10,0,1,-1,0,0,0,,,muscles
E,75,Strike lands in center of foe's chest. Foe is knocked down. Chest armor is destroyed. Ribs are broken.,20,0,-10,0,5,-1,0,0,0,,hits:15;stunned:6;mod:-30,bones
E,80,"Strike crashes into foe's side, breaking his shoulder and collar bone. One arm is useless; the other isn't much better.",25,0,-50,0,0,-1,0,0,0,,,bones
E,85,Violent onslaught ruptures organs and causes massive internal bleeding. Foe will die in 6 inactive rounds.,30,0,0,0,0,6,6,0,0,,,organs
E,90,Foe is thrown down. Two ribs protrude from his chest. Organs are destroyed. Foe's eyes glaze when death comes in 3 rnds.,50,0,0,0,0,3,3,0,0,,,organs
E,95,Foe's lower body is crushed. Massive blood loss and shock will cause foe to die after 6 rounds. He can still speak.,30,0,0,0,0,6,6,0,0,,,organs
E,99,Strike brings foe down. His spine is broken with liitle effort. Foe is still. Blood pours from his mouth heralding his death. He dies in 3 rounds.,0,0,0,20,0,3,3,0,0,,,organs
E,100,Blast breaks close to thirty bones in foe's skeleton. He is dead a moment later. His body is difficult to gather up. Very little of his equipment in intact.,0,0,0,0,0,0,0,0,0,,,bones/organs
