crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
normal,5,Weapon shatters on foe's solid form.,12,0,0,0,0,-1,0,0,0,,,
normal,10,"Solid, but futile.",3,0,0,0,0,-1,0,0,0,,,
normal,20,Hardly enough for victory. Weak side strike.,6,0,0,0,0,-1,0,0,0,,,
normal,30,Strong blow to foe's forearm yields its measure.,9,0,0,0,0,-1,0,0,0,,,
normal,40,Strike to beast's chest. Some unseen piece of protection blocks your attack.,12,0,0,0,0,-1,0,0,0,,,
normal,50,Strike lands upon foe's side. He responds by leaping back away from you.,15,0,0,0,0,-1,0,0,0,,,
normal,65,Blow crashes into foe's leg. The damage is obvious by the look on his face.,20,0,0,0,0,-1,0,0,0,,,
normal,66,Well placed strike to foe's neck severs the jugular vein. Foe falls and dies in 6 rounds.,0,0,0,0,0,6,6,0,0,,,vein
normal,70,Foe's leg catches your failing strike at the right moment. The leg is bruised badly.,25,0,0,0,0,-1,0,0,0,,,
normal,80,Arm strike gives foe a bruise.,30,0,0,0,0,-1,0,0,0,,,
normal,90,Strong blast to foe's stomach staggers foe. His guard drops for a moment. You have a chance.,20,0,0,10x1,2,-1,0,2,0,,,
normal,95,"Strong blow to foe's leg yields a gaping wound. If foe has blood, you see a lot of it.",18,5,-10,0,3,-1,0,0,0,,,muscles
normal,98,"Plunge your weapon into foe's heart. Foe dies instantly, and falls on you. You are pinned for 6 rounds and +20H!",0,0,0,0,0,0,0,0,0,,,
normal,100,Strike through foe's lungs. Foe falls down and dies after 6 rounds. Allies get a bonus!,24,0,20x1,0,0,6,6,0,0,,,organ
normal,150,Awesome strike to shoulder sends foe stumbling. He has trouble getting his balance back.,50,0,-35,0,3,-1,0,3,0,,,muscles/tendons
normal,175,Strike drives bone into kidneys and liver. Foe drops and dies in 6 rounds. What a pity.,0,0,0,0,0,6,6,0,0,,,organ/bones
normal,200,Strike to bowels destroys foe's abdomenal areas. Foe's blood is all over you. Foe dies in 12 rounds.,35,0,0,15x1,0,12,0,0,0,,,organ
normal,250,Blow to foe's forearm severs a vein. Foe dies in 7 rounds from shock and blood loss. He is still standing.,15,0,-30,0,6,7,0,0,0,,,
normal,2000,You grapple your foe and deal him a mighty blow. You are knocked out. Foe is also impaired,35,0,0,0,3,-1,0,3,0,,,
magic,5,You fumble your weapon (roll on the fumble table).,15,0,0,0,0,-1,0,0,0,,,
magic,10,Blow to foe's side. Pretty sparks.,4,0,0,0,0,-1,0,0,0,,,
magic,20,"Your blade guides itself in, but you miss the opportunity.",8,0,0,0,0,-1,0,0,0,,,
magic,30,"You give out an epic strike, but foe is an epic creature",10,0,0,0,0,-1,0,0,0,,,
magic,40,Hard strike to foe's thigh. It glances off. You really wish that had landed better.,15,0,0,0,0,-1,0,0,0,,,
magic,50,Your blade bites into foe's skin with a hiss. Foe roars out at you. You ready yourself for what comes next.,18,0,0,0,0,-1,0,0,0,,,
magic,65,Blow to foe's back. It concerns him greatly. Good luck.,5,0,0,0,1,-1,0,0,0,,,
magic,66,Vicious strike to abdomenal region destroys a variety of organs. Foe falls over with a crash. He dies in 3 rounds.,30,0,0,0,0,3,3,0,0,,,organ
magic,70,Blow to thigh leaves a bad bruise. Foe almost falls over on you. You leap clear.,30,0,0,0,0,-1,0,0,0,,,
magic,80,Minor forearm wound. The beast's guard is down for an instant. Press your attack.,13,0,0,0,3,-1,0,3,0,,,
