crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,Strike loses its power.,0,0,0,0,0,-1,0,0,0,,,
A,10,Strike slows a tap.,1,0,0,0,0,-1,0,0,0,,,
A,15,You maneuver for a a better  position. You have initiative.,3,0,0,0,0,-1,0,0,0,,,
A,20,You take a shot to foes side. You have the initative.,4,0,0,0,0,-1,0,0,0,,,
A,35,"Light, but well placed strike. You are already starting your next attack",5,0,0,0,0,-1,0,0,1,,,
A,45,Mild strike to fos chest. He can see your next strike coming and he attempts to block it.,6,0,-10x1,0,0,-1,0,0,1,,,
A,50,Foe is confused by your attack. He steps back to parry your next strike.,6,0,-25x1,0,0,-1,0,0,1,,,
A,55,Strike bends Foes hip in an odd direction. He is unbalanced.,3,0,0,0,1,-1,0,0,0,,,
A,60,Fist to chest. A solid punch. Foe is rattled a little.,5,0,0,0,1,-1,0,0,0,,,
A,65,"Blow on top of Foes foot is slightly misplaced, but quick. Bruise toe and mash toe nails.",5,0,-20x5,0,0,-1,0,0,0,,,
A,66,"Strike Achilles tendon. Foe almost falls. He recovers his balance, but the pain is strong.",7,0,-50,0,2,-1,0,0,0,,,tendons
A,70,Weak spearhand to Foes side. It yields an excellent effect.,2,0,0,0,2,-1,0,0,0,,,
A,75,"Knife hand, spear hand combination. Foe must roll a weapon fumble.",0,0,0,0,1,-1,0,0,0,,,
A,80,"Blow to Foes shield arm. If foe has a shield, it is broken. If foe has no shield, his arm is broken.",6,0,0,0,1,-1,0,0,0,,,
A,85,Kick to Foes weapon arm. Foe is disarmed. Your strike does little else.,3,0,0,0,0,-1,0,0,0,,,
A,90,Fluid move followed by a leaping kick to Foes back knocks foe down. He is shaken and tries to stand.,0,0,0,0,3,-1,0,0,0,,,
A,95,"Strike to nerve in Foes leg. Foes leg buckles. He does not fall, he crouches down in pain.",8,0,-40x6,0,2,-1,0,2,0,,,
A,99,You block Foes attack. You then follow-up with a side strike that knocks foe down. Foe hits hard and loses his direction.,0,0,0,0,3,-1,0,3,0,,,
A,100,Gooseneck strike. Foes inner ear ruptured. Foe stands there while your follow-up strike knocks him down and out!,0,0,-75,0,0,-1,500,0,0,,,organ
B,5,"Fine artistry, but no extra damage.",0,0,0,0,0,-1,0,0,0,,,
B,10,Your master would be so embarrassed.,2,0,0,0,0,-1,0,0,0,,,
B,15,Blow to shoulder. Foe steps back and yields the initiative to you.,0,0,0,0,0,-1,0,0,0,,,
B,20,Good shot! You have initiative for 2 rounds.,5,0,0,0,0,-1,0,0,0,,,
