crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,Foe avoids most of the attack.,0,0,0,0,0,-1,0,0,0,,,
A,10,Strike failed to connect well.,1,0,0,0,0,-1,0,0,0,,,
A,15,Strike causes foe to flinch. You gain initiative next round.,1,0,0,0,0,-1,0,0,0,,,
A,20,Foe steps back defensively.,1,0,0,0,0,-1,0,0,1,,,
A,35,Convince foe of his peril by just missing his abdomen.,2,0,0,10,0,-1,0,0,1,,,
A,45,Nick foe's calf with long follow through.,0,1,0,0,0,-1,0,0,0,,,muscle
A,50,Foe's evasion exposes his back to your strike.,2,0,-30,0,0,-1,0,0,1,,,muscle/cartilage
A,55,Strike to foe's chest and he looks impressed.,0,2,-25,0,0,-1,0,0,1,,,muscle
A,60,Minor thigh wound. It could have been better.,2,2,0,0,1,-1,0,0,0,,,
A,65,Minor forearm wound numbs foe's grip.,2,1,-10,0,0,-1,0,0,0,,,muscle
A,66,Strike to foe's shield shoulder. Arm is useless. That must really hurt!,0,3,0,10,0,-1,0,0,0,,,muscle
A,70,Strike along foe's neck.,5,0,0,0,3,-1,0,1,0,,,muscle
A,75,Strike to lower leg.,5,0,-10,0,0,-1,0,0,3,leg,hits:3;stunned:1;no_parry:1;mod:-25,muscle/cartilage
A,80,Strike foe in upper arm. You tear his pretty clothes.,3,3,-25,0,2,-1,0,0,0,,,muscle
A,85,"Deep wound in foe's side. Well, it looked like a killing blow.",0,5,0,20,6,-1,0,0,0,,,muscle/cartilage
A,90,Catch foe in the back. He drops his guard and stumbles foward.,0,2,-20,0,2,-1,0,2,0,,,muscle
A,95,Strike to foe's ear. Foe hears at -50.,5,0,0,0,4,-1,0,1,0,head,hits:3;hits/rnd:2;stunned:2;no_parry:2,
A,99,Strike to nose. There is a permanent scar. Foe's eyes are crossed for a moment.,0,3,0,0,3,-1,0,3,0,,,
A,100,Strike through neck. Sever vein and artery. Foe cannot breath. Foe drops and dies of heart failure.,0,0,0,0,0,0,0,0,0,,,cartilage
B,5,Glancing blow. Nothing extra.,0,0,0,0,0,-1,0,0,0,,,
B,10,Panck!,2,0,0,0,0,-1,0,0,0,,,
B,15,Foe questions his resolve. You gain initiative next round.,3,0,0,0,0,-1,0,0,0,,,
B,20,For steps back and avoids the worst.,2,0,-10,0,0,-1,0,1,0,,,muscle
B,35,Foe is uncertain about your next attack. He chodes to let you make the first move. (You gain initiative),2,0,0,0,0,-1,0,2,0,,,
B,45,Cheap shot to foe's shin.,5,0,0,0,0,-1,0,0,1,leg,hits:2;hits/rnd:1,muscle
B,50,Blow to back damages any equipment worn there.,0,1,0,0,1,-1,0,0,0,,,
B,55,Solid strike to foe's chest. Blood from wound ruins any heraldry.,3,2,0,0,0,-1,0,0,2,,,muscle
B,60,Thigh wound does some damage.,3,2,0,0,1,-1,0,1,0,,,muscle
B,65,Forearm strike shakes foe up. Foe attempts a recovery.,2,2,-10,0,1,-1,0,0,0,,,muscle
B,66,Foe blocks your attack with his elbow. Elbow is shattered. Shield arm is useless.,3,0,0,0,4,-1,0,0,2,,,bone
B,70,Strike to foe's neck. It's not enough for a kill.,0,3,-5,0,2,-1,0,0,0,,,muscle
B,75,Strike to foe's calf. Slash muscle. Foe almost falls down,3,0,-40,0,2,-1,0,2,0,,,muscle
B,80,"Strike to shield side. If foe has shield, your weapon is stuck in it for a round.",0,3,-30,0,3,-1,0,0,0,,,muscle
B,85,Tear open foe's side in a graphic display of violence.,6,5,-25,0,3,-1,0,3,0,,,muscle
B,90,"Strike to foe's head. If foe has no helm he dies. If foe has helm, he falls to his knees",6,0,0,0,2,-1,0,2,0,head,die:0,nerve
B,95,Strike to foe's hip.,7,0,-10,0,1,-1,0,0,0,waist,hits:5:hits/rnd:3;stunned:1;mod:-25,muscle/bone
B,99,Strike through foe's cheek and throat. Foe drops and dies after 9 rounds of incapacity.,0,0,0,20,0,9,9,0,0,,,muscle/cartilage
B,100,Strike plunges into foe's eye. Foe dies instantly. Foe remains standing for a moment until he realizes this.,0,0,0,10,0,0,0,0,0,,,organ
C,5,Foe dances clear of the worst.,1,0,0,0,0,-1,0,0,0,,,
C,10,Nick your weapon and your foe.,3,0,0,0,0,-1,0,0,0,,,
C,15,Foe's evasion puts him out of position. You gain initiative next round,5,0,0,0,0,-1,0,0,0,,,
C,20,Blow to foe's side. If foe has a belt it is severed.,3,0,-20,0,0,-1,0,0,1,,,muscle
C,35,Strike crosses foe's head. If he has a helm it is knocked off and dented.,0,1,0,0,1,-1,0,0,0,,,muscle
C,45,Strike along foe's calf. The damage takes a moment to show.,0,2,0,0,0,-1,0,0,0,,,muscle
C,50,Lower back strike sends foe reeling. His guard is still up.,0,1,0,0,2,-1,0,0,0,,,muscle
C,55,"Strike toward chest. If foe has a shield, it is out of position for the rest of the round.",3,2,0,0,2,-1,0,0,0,,,muscle
C,60,Strike to foe's thigh.,8,1,0,0,1,-1,0,1,0,leg,hits:5;hits/rnd:2;stunned:2;mod:-10,muscle
C,65,Solid strike to foe's right forearm.,5,0,0,0,2,-1,0,2,0,arm,hits:3;hits/rnd:2;stunned:2;mod:-10,muscle
