crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,Weak strike.,0,0,0,0,0,-1,0,0,0,,,
A,10,"Good form, but it disappoints.",1,0,0,0,0,-1,0,0,0,,,
A,15,Blade misses foe's face by inches. You receive initiative next round.,1,0,0,0,0,-1,0,0,0,,,
A,20,Strike passes under foe's arm. It fails to bite deep. He recoils.,1,0,0,0,0,-1,0,0,1,,,
A,35,Foe's evasion puts him out of an aggressive posture.,2,0,0,10,0,-1,0,0,1,,,
A,45,Minor thigh wound. Cut foe with the smallest of slashes.,0,1,0,0,0,-1,0,0,0,,,muscles
A,50,Blow to foe's back. Foe attempts to ward you off with a wild swing.,2,0,-30,0,0,-1,0,0,1,,,muscles
A,55,Blow to foe's chest. Foe stumbles back and puts up a feeble guard.,2,1,-25,0,0,-1,0,0,1,,,muscles
A,60,You recover from your initial swing and bring edge across foe's thigh.,3,2,0,0,0,-1,0,0,1,,,muscles
A,65,You feign high and strike low. Slash foe in back of upper leg.,3,2,-10,0,0,-1,0,0,0,,,muscles
A,66,Foe blocks your attack with his shield arm. Shoulder is broken and arm is useless. You have initiative.,9,0,0,10,3,-1,0,0,0,,,bones
A,70,Strike lands close against foe's neck. Foe is horrified.,6,0,0,0,3,-1,0,1,0,,,
A,75,Blow falls on lower leg. Slash tendons. Poor sucker.,4,2,-30,0,2,-1,0,1,0,,,tendons
A,80,"Foe goes low, but you still catch his upper arm. It's a bleeder.",5,3,-25,0,2,-1,0,2,0,,,muscles
A,85,Foe steps right into your swing. You make a large wound.,6,6,0,20,5,-1,0,0,0,,,muscles
A,90,Foe turns out and away from your swing. You still catch his side.,8,2,-10,0,2,-1,0,2,0,,,muscles
A,95,"Blow to foe's head. If no helmet, cut off foe's ear (all hearing ability is halved).",3,0,0,0,2,-1,0,2,0,head,hits:3;hits/rnd:3;stunned:3;no_parry:1,cartilage
A,99,The tip of your weapon slashes foe's nose. Minor wound and a permanent scar.,2,2,-30,0,6,-1,0,0,0,,,cartilage
A,100,"Strike severs carotid artery and jugular vein, breaking foe's neck. Foe dies in 6 rounds of agony.",0,0,0,0,0,6,6,0,0,,,bones/veins
B,5,Feeble strike falls clear of target.,0,0,0,0,0,-1,0,0,0,,,
B,10,Hard strike with no edge. Foe steps clear before you sort it out.,2,0,0,0,0,-1,0,0,0,,,
B,15,Foe steps quickly out of your reach. You receive initiative next round,3,0,0,0,0,-1,0,0,0,,,
B,20,Blow to foe's side. Foe defends energetically.,2,0,-10,0,0,-1,0,0,1,,,muscles
B,35,Foe is shaken by your blow to his side. His defensive measures look clumsy,2,0,-20,0,0,-1,0,0,1,,,muscles
