crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,Your concern for damaging foe hinders you.,0,0,0,0,0,-1,0,0,0,,,
A,10,You pull your punch.,0,0,0,0,0,-1,0,0,0,,,
A,15,Mishandle strike. Try again.,1,0,0,0,0,-1,0,0,0,,,
A,20,Foe's guard comes up and blocks your assault.,1,0,0,0,0,-1,0,0,1,,,
A,35,Awkward positioning spoils your strike.,1,0,0,0,0,-1,0,0,1,,,
A,45,Move in close. You gain the initiative next round.,2,0,0,0,0,-1,0,0,0,,,
A,50,Strike to foe's chest. He is having some trouble.,2,0,-10x3,0,0,-1,0,0,0,,,
A,55,Stike falls on foe's leg. He shakes it off.,2,0,0,0,1,-1,0,0,0,,,
A,60,Blow lightly strikes foe's head. He puts you at bay with a masterful turn.,3,0,-10x6,0,0,-1,0,0,0,,,
A,65,"Backhand to foe's side. He steps 5 feet to the right, avoiding your reach.",3,0,0,0,1,-1,0,0,0,,,
A,66,Classic shot between foe's shoulder blades. He hurts.,9,0,-10x4,0,2,-1,0,2,0,,,
A,70,Chest strike is solid. Knock the wind out of your foe. He struggles to evade.,3,0,-20x3,0,0,-1,0,0,0,,,
A,75,Side strike damages a muscle. Foe is disabled for the moment.,4,0,0,0,2,-1,0,0,0,,,
A,80,"Blow to foe's shield arm. If foe has a shield, it should check for breakage.",8,0,-20x2,0,0,-1,0,0,0,shield,hits:4;stunned:2;no_parry:2,
A,85,Strong grip and a shot to the side make for an effective combination. Foe is disabled for an instant.,5,0,0,10x1,1,-1,0,1,0,,,
A,90,Your attack is part grapple and sweep. You push foe off balance.,6,0,0,0,3,-1,0,3,0,,,
A,95,Strike lands solid upon foe's neck. His neck is sprained. He falls down and has difficulty getting up.,7,0,-20,0,2,-1,0,2,0,,,muscles/tendons
A,99,Solid strike turns foe's head and it pinches a nerve in his neck. Foe falls over and goes unconscious.,8,0,-30,0,0,-1,1000,0,0,,,nerves
A,100,"You pop foe on his head in what looks like a playful strike. He pauses 1 round, then passes out.",5,0,0,0,0,-1,1000,0,0,,,nerves
B,5,Your attempt is poorly planned.,0,0,0,0,0,-1,0,0,0,,,
B,10,You're being too delicate. Bust him!,1,0,0,0,0,-1,0,0,0,,,
B,15,Your strike lands on foe's shoulder. Attack is of little profit.,1,0,0,0,0,-1,0,0,0,,,
B,20,"You attempt to kick foe in groin. You miss, but the threat is enough.",2,0,0,0,0,-1,0,0,1,,,
B,35,You miss foe's head and strike his shoulder. He is unbalanced.,2,0,-20x2,0,0,-1,0,0,0,,,
B,45,Blow lands on foe's shield hand.You gain the initiative.,3,0,-5,0,0,-1,0,0,0,,,muscles/tendons
B,50,Back strike. Your position is better. Foe seeks to keep you at bay.,3,0,0,0,1,-1,0,0,2,,,
B,55,Your strike was less than you hoped. It still disorients your foe.,3,0,0,0,1,-1,0,0,0,,,
B,60,Shoulder strike lands lightly. You put more shove into it than strike. Foe is frantic to regain his balance.,3,0,-10x4,0,0,-1,0,0,1,,,
B,65,Hard blow to foe's side. He is weakened by the pain. He doubles over in response to the assault.,6,0,-30x4,0,1,-1,0,0,0,,,
B,66,Grab foe's weapon arm and force it the wrong way. Foe is disarmed. Elbow is strained.,12,0,-20,0,2,-1,0,2,0,,,muscles/tendons
B,70,Strong forearm assault drives foe back off his footing. He slips down to one knee.,5,0,-40x4,0,4,-1,0,4,0,,,
B,75,You try to kick foe off his feet. The strike lands on foe's calf. Deep bruise.,5,0,-30,0,1,-1,0,0,0,,,muscles
B,80,Heavy handed attack. It looks like you're going for a kill. Foe avoids the worst. Blow to foe's shield arm.,6,0,-10,0,2,-1,0,2,0,,,
