crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
normal,5,,0,0,0,0,0,-1,0,0,0,,,
normal,10,,0,0,0,0,0,-1,0,0,0,,,
normal,20,,0,0,0,0,0,-1,0,0,0,,,
normal,30,,0,0,0,0,0,-1,0,0,0,,,
normal,40,,0,0,0,0,0,-1,0,0,0,,,
normal,50,,0,0,0,0,0,-1,0,0,0,,,
normal,65,,0,0,0,0,0,-1,0,0,0,,,
normal,66,,0,0,0,0,0,-1,0,0,0,,,
normal,70,,0,0,0,0,0,-1,0,0,0,,,
normal,80,,0,0,0,0,0,-1,0,0,0,,,
normal,90,,0,0,0,0,0,-1,0,0,0,,,
normal,95,,0,0,0,0,0,-1,0,0,0,,,
normal,98,,0,0,0,0,0,-1,0,0,0,,,
normal,100,,0,0,0,0,0,-1,0,0,0,,,
normal,150,,0,0,0,0,0,-1,0,0,0,,,
normal,175,,0,0,0,0,0,-1,0,0,0,,,
normal,200,,0,0,0,0,0,-1,0,0,0,,,
normal,250,,0,0,0,0,0,-1,0,0,0,,,
normal,2000,,0,0,0,0,0,-1,0,0,0,,,
magic,5,,0,0,0,0,0,-1,0,0,0,,,
magic,10,,0,0,0,0,0,-1,0,0,0,,,
magic,20,,0,0,0,0,0,-1,0,0,0,,,
magic,30,,0,0,0,0,0,-1,0,0,0,,,
magic,40,,0,0,0,0,0,-1,0,0,0,,,
magic,50,,0,0,0,0,0,-1,0,0,0,,,
magic,65,,0,0,0,0,0,-1,0,0,0,,,
magic,66,,0,0,0,0,0,-1,0,0,0,,,
magic,70,,0,0,0,0,0,-1,0,0,0,,,
magic,80,,0,0,0,0,0,-1,0,0,0,,,
magic,90,,0,0,0,0,0,-1,0,0,0,,,
magic,95,,0,0,0,0,0,-1,0,0,0,,,
magic,98,,0,0,0,0,0,-1,0,0,0,,,
magic,100,,0,0,0,0,0,-1,0,0,0,,,
magic,150,,0,0,0,0,0,-1,0,0,0,,,
magic,175,,0,0,0,0,0,-1,0,0,0,,,
magic,200,,0,0,0,0,0,-1,0,0,0,,,
magic,250,,0,0,0,0,0,-1,0,0,0,,,
magic,2000,,0,0,0,0,0,-1,0,0,0,,,
mithil,5,,0,0,0,0,0,-1,0,0,0,,,
mithil,10,,0,0,0,0,0,-1,0,0,0,,,
mithil,20,,0,0,0,0,0,-1,0,0,0,,,
mithil,30,,0,0,0,0,0,-1,0,0,0,,,
mithil,40,,0,0,0,0,0,-1,0,0,0,,,
mithil,50,,0,0,0,0,0,-1,0,0,0,,,
mithil,65,,0,0,0,0,0,-1,0,0,0,,,
mithil,66,,0,0,0,0,0,-1,0,0,0,,,
mithil,70,,0,0,0,0,0,-1,0,0,0,,,
mithil,80,,0,0,0,0,0,-1,0,0,0,,,
mithil,90,,0,0,0,0,0,-1,0,0,0,,,
mithil,95,,0,0,0,0,0,-1,0,0,0,,,
mithil,98,,0,0,0,0,0,-1,0,0,0,,,
mithil,100,,0,0,0,0,0,-1,0,0,0,,,
mithil,150,,0,0,0,0,0,-1,0,0,0,,,
mithil,175,,0,0,0,0,0,-1,0,0,0,,,
mithil,200,,0,0,0,0,0,-1,0,0,0,,,
mithil,250,,0,0,0,0,0,-1,0,0,0,,,
mithil,2000,,0,0,0,0,0,-1,0,0,0,,,
holy,5,,0,0,0,0,0,-1,0,0,0,,,
holy,10,,0,0,0,0,0,-1,0,0,0,,,
holy,20,,0,0,0,0,0,-1,0,0,0,,,
holy,30,,0,0,0,0,0,-1,0,0,0,,,
holy,40,,0,0,0,0,0,-1,0,0,0,,,
holy,50,,0,0,0,0,0,-1,0,0,0,,,
holy,65,,0,0,0,0,0,-1,0,0,0,,,
holy,66,,0,0,0,0,0,-1,0,0,0,,,
holy,70,,0,0,0,0,0,-1,0,0,0,,,
holy,80,,0,0,0,0,0,-1,0,0,0,,,
holy,90,,0,0,0,0,0,-1,0,0,0,,,
holy,95,,0,0,0,0,0,-1,0,0,0,,,
holy,98,,0,0,0,0,0,-1,0,0,0,,,
holy,100,,0,0,0,0,0,-1,0,0,0,,,
holy,150,,0,0,0,0,0,-1,0,0,0,,,
holy,175,,0,0,0,0,0,-1,0,0,0,,,
holy,200,,0,0,0,0,0,-1,0,0,0,,,
holy,250,,0,0,0,0,0,-1,0,0,0,,,
holy,2000,,0,0,0,0,0,-1,0,0,0,,,
slaying,5,,0,0,0,0,0,-1,0,0,0,,,
slaying,10,,0,0,0,0,0,-1,0,0,0,,,
slaying,20,,0,0,0,0,0,-1,0,0,0,,,
slaying,30,,0,0,0,0,0,-1,0,0,0,,,
slaying,40,,0,0,0,0,0,-1,0,0,0,,,
slaying,50,,0,0,0,0,0,-1,0,0,0,,,
slaying,65,,0,0,0,0,0,-1,0,0,0,,,
slaying,66,,0,0,0,0,0,-1,0,0,0,,,
slaying,70,,0,0,0,0,0,-1,0,0,0,,,
slaying,80,,0,0,0,0,0,-1,0,0,0,,,
slaying,90,,0,0,0,0,0,-1,0,0,0,,,
slaying,95,,0,0,0,0,0,-1,0,0,0,,,
slaying,98,,0,0,0,0,0,-1,0,0,0,,,
slaying,100,,0,0,0,0,0,-1,0,0,0,,,
slaying,150,,0,0,0,0,0,-1,0,0,0,,,
slaying,175,,0,0,0,0,0,-1,0,0,0,,,
slaying,200,,0,0,0,0,0,-1,0,0,0,,,
slaying,250,,0,0,0,0,0,-1,0,0,0,,,
slaying,2000,,0,0,0,0,0,-1,0,0,0,,,
