crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,Dubious strike.,0,0,0,0,0,-1,0,0,0,,,
A,10,Zip. Less than effective.,0,0,0,0,0,-1,0,0,0,,,
A,15,Feeble.,0,0,0,0,0,-1,0,0,0,,,
A,20,Victory to the oppressed!,1,0,0,0,0,-1,0,0,0,,,
A,35,Jolly deadly attack.,1,0,0,0,0,-1,0,0,0,,,
A,45,Cruel blow for nature.,2,0,0,0,0,-1,0,0,0,,,
A,50,Poor follow through. You lose a claw. Your attack is dubious.,4,0,-5x2,0,0,-1,0,0,0,,,
A,55,Leaping chest strike yields some measurable damage.,2,0,0,0,0,-1,0,0,0,,,
A,60,Light wound to thigh. Garments are torn. Promises are made.,1,1,0,0,0,-1,0,0,0,,,
A,65,"Mild forearm wound. You are doing very well, keep it up.",2,2,0,0,0,-1,0,0,0,,,muscle
A,66,You find a nice vulnerable spot to rip open. Foe leaps back from your cluches. He unbalances himself to escape your assault.,4,2,0,0,2,-1,0,2,0,,,
A,70,"Slash to foe's shoulder. It's not deadly, but it is a start.",3,1,0,0,1,-1,0,0,0,,,
A,75,You attempt to assault foe's lower leg. You have the initiative.,4,0,0,0,0,-1,0,0,0,leg,hits:1;hits/rnd:2,muscle
A,80,"Weak, but precise strike to foe's arm. Foe shakes you off, but you do some damage anyway",3,1,0,0,1,-1,0,0,0,,,
A,85,Strike at foe's face. He panics and stumbles back 5 feet. You fall clear and prepare for another strike.,4,2,0,0,1,-1,0,0,0,,,
A,90,Sudden well placed blow makes you feel you are mighty in battle. Your foe is convinced.,6,0,0,0,2,-1,0,0,0,,,
A,95,"Leaping head stike. If foe has no helm, face and left ear is slashed.",3,0,-30,0,2,-1,0,0,0,,,organ/muscle
A,99,"Insulting strike to foe's nose. If foe has no nose guard, his nose is shredded. Foe reels from your onslaught.",0,3,0,0,9,-1,0,0,0,,,organ
A,100,"Strike at foe's eyes. Without a visored helm, foe loses one of his eyes.",15,0,-75,0,3,-1,0,3,0,,,organ
B,5,You throw up some dust.,0,0,0,0,0,-1,0,0,0,,,
B,10,You leap. Foe moves. You land. It had good form.,0,0,0,0,0,-1,0,0,0,,,
B,15,You almost got a real grip.,0,0,0,0,0,-1,0,0,0,,,
B,20,Your lunge for foe's throat was blocked by his arm.,1,0,0,0,0,-1,0,0,0,,,
B,35,"You get in close, but foe kicks you clear before your strike turns deadly.",2,0,0,0,0,-1,0,0,0,,,
B,45,Attempt to disembowel falls short. Foe guards his stomach well.,3,0,0,0,0,-1,0,0,0,,,
B,50,Slash to foe's side does no cut deep. He turns to avoid the worst.,3,0,0,0,0,-1,0,0,0,,,
B,55,"Good little gash, produces an effective wound.",3,1,0,0,0,-1,0,0,0,,,muscle
B,60,"Scratch foe's skin, but you do not break the skin.",6,0,0,0,0,-1,0,0,0,,,
B,65,Raking forearm strike leaves a nasty scar. It bites deep enough to bleed.,3,2,0,0,0,-1,0,0,0,,,muscle
B,66,"Your strike grips foe's calf. He pulls away from you violently. His actions further damage the wound. You do your best, before he breaks free.",5,0,-20,0,2,-1,0,0,0,,,muscle
B,70,Claw scratches acrossed a piece of metal. That screeching sound!,4,1,0,0,1,-1,0,0,0,,,
B,75,"Assault foe's shin. If foe has no armor, you tear his shin up. Foe struggles to throw you off.",6,0,0,0,0,-1,0,0,0,leg,hits:3;hits/rnd:2;parry:2,
B,80,"Strong, but imprecise arm strike. The wound is of moderate size. You are proud to have created it.",5,2,-15,0,0,-1,0,0,0,,,muscle
B,85,Flying face strike.,3,0,0,0,0,-1,0,0,1,face,hits/rnd:3;stunned:3,muscle
B,90,Slash foe's neck. He thinks you just killed him. The wound is not mortal. Foe stumbles away fearful of death.,5,2,0,0,3,-1,0,0,0,,,muscle
B,95,Foe blocks your attack with his arm so you slash it in place of your original target. Foe realizes his mistake.,5,2,0,0,3,-1,0,3,0,,,muscle
B,99,"Strike to foe's forehead. Foe is blinded, until the bleeding is stopped. Foe is off guard trying to stop the bleeding. Now is your chance.",0,3,-40,0,3,-1,0,3,0,,,muscle
