crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,You and your foe both stumble.,0,0,0,0,0,-1,0,0,0,,,
A,10,Foe recognizes this assault from grade school.,0,0,0,0,0,-1,0,0,0,,,
A,15,Powerful strike fails to land solid. It still does some damage.,0,0,0,0,0,-1,0,0,0,,,
A,20,Foe seeks to push you away. He lashes out in defensive manner.,4,0,0,0,0,-1,0,0,1,,,
A,35,"On line strike, but weak. Foe steps back and feigns an attack to draw off your assault.",4,0,0,0,0,-1,0,0,1,,,
A,45,Light bash breaks foe's focus. You have the initiative next round.,4,0,0,0,0,-1,0,0,0,,,
A,50,Attempt to spin foe's around almost succeeds. Weak grip to side.,5,0,-10,0,0,-1,0,0,1,,,tendons
A,55,Firm press to foe's chest. He give ground happily. Watch his weapon.,5,0,-20,0,0,-1,0,0,1,,,tendons/muscles
A,60,Strike thigh. Foe is pushed back.,7,0,0,0,0,-1,0,0,0,thigh,hits:5;stunned:1,
A,65,Foe's arm is pinned for a moment. He recovers by twisting you off.,6,0,0,0,1,-1,0,0,0,,,
A,66,Shoulder strike sends foe spinning. He comes all the way around before stopping. Well placed shot.,7,0,0,0,2,-1,0,2,0,,,
A,70,Hasty press upon foe's chest produces excellent results. Foe is unbalanced.,8,0,-50x2,0,0,-1,0,0,0,,,
A,75,"Hammer foe's lower leg. He has trouble standing, but manages.",7,0,0,0,2,-1,0,0,0,,,
A,80,"Blow to foe's shield side. If foe has a shield, it is torn away.",12,0,0,0,2,-1,0,0,0,,,
A,85,Side strike. Disoriented foe strikes out for you in the wrong direction. You move to take advantage.,12,0,0,10x1,1,-1,0,1,0,,,
A,90,Elbow to the back. Foe stumbles 5 feet sideways. Foe cannot seem to get his head clear.,13,0,0,20x1,3,-1,0,0,0,,,
A,95,"Head strike. If foe has no helm, he is knocked out for 2 hours. If foe has a helm, he is better off.",0,0,0,0,3,-1,0,0,0,helm,ooo:7200,
A,99,Strike to foe's stomach. He bends down in pain and you send him sprawling on his face. He hits harder than you could have hoped.,10,0,0,0,0,-1,0,3,0,,,
A,100,"Brutal hip strike knocks foe down. Fall tears tendons, and fractures bone in leg. The pain his great. Foe is incoherent for 9 hours.",0,0,-90,0,0,-1,3240,0,0,,,bones/tendons
B,5,You lunge 5 feet past your foe.,0,0,0,0,0,-1,0,0,0,,,
B,10,Your opponent stands firmly in front of you.,1,0,0,0,0,-1,0,0,0,,,
B,15,Weak side strike glances off kidneys. It could have been great.,4,0,0,0,0,-1,0,0,0,,,
B,20,Glancing side blow. You unbalance your foe. He recovers quickly.,4,0,0,0,0,-1,0,0,1,,,
B,35,Your strike makes foe's footing uncertain. He pushes you clear and begins to right himself.,5,0,-20x1,0,0,-1,0,0,0,,,
B,45,You salvage your attack by tripping foe. You have the initiative next round.,5,0,-5x2,0,0,-1,0,0,0,,,
