roll,one-handed arms,two-handed arms,polearms and spears,mounted arms,thrown arms,missile weapons,MA strikes,MA sweeps,brawling,animal
25,Your palm is sweaty. Maybe you will improve.,My that weapon is heavy! You lose the opportunity to take a swing.,You snag your own clothes and lose the opportunity to take a swing.,Your mount's tack tangles your weapon. You lose the opportunity to take a strike,Your grip is weak. You elect not to attack because of control.,Sweat trickles into your eye. You elect not to attack. Good choice.,Target is VERY fast. Lose the opportunity to attack.,attractive person over there. Lose your,You stop for a breather. Try again next round.,Your foe's defenses seem more formidable. Try again next round.
30,Klutzy. Drop your weapon. Spend two rounds recovering it; or draw a new one next round.,Your weapon flies. Take four rounds to recover it; or draw a new one next round.,Fumble your delivery and your weapon is out of position. You lose the option to attack.,Can't find the right angle. You lose 2 rounds of attack (but can still parry).,You fumble your delivery but hang onto your weapon. You have -10 to your next attack.,Your ten thumbs just cannot handle loading. You must reload your weapon,Stumble on your own two feet. Take the rest of the round to regain balance.,Your attack is weak and off-balanced. Spend the remainder of the round recovering.,You are distracted by that rather attractive person over there. Lose your opportunity to attack.,His sudden movement surprised you You lose the opportunity to attack.
40,Your feet get tangled. You miss the opportunity to get in that vital blow.,Your mind is wandering. Spend the rest of the round clearing your head.,You just look clumsy. Your feet are sliding. You are stunned for one round.,You slip in the saddle. You lose 2 rounds of attack (but can still parry).,"Your feet are really tangled up. You lose 2 rounds of attack, but can still parry.",Your ammunition slips away. You must reload.,You thought you knew what you were doing. Spend the remainder of the round remembering how to do that move.,You stub your toe during delivery. You fail to connect and spend the remainder of this round stunned.,The object you were holding is suddenly shattered! You are stunned for the remainder of this round.,"You attack too quickly, coming away with only cloth. You are stunned the remainder of the round."
50,You are over-extended and strain a muscle. Take 1d5 hits.,"Stumble over an imaginary dead turtle. You lose 2 rounds of attack, but you can still parry.",Your weapon is spinning for two rounds. You can still parry at -10.,Your mount dodges an unseen foe. You are stunned for 2 rounds.,You begin juggling your weapon because of a bad grip. Your lack of control stuns you for 3 rounds.,You notice that your ammunition is faulty. After removing it you discover you were wrong. Reload it.,Overextend yourself. Spend next round parrying while your muscles recover.,You lose your balance during the throw. You must parry for two rounds while you recover.,You duck just in time! Spend the next round parrying while you find a new opening,You realize that this foe may be too much. You must attack a different foe next round.
60,You try to impress your opponent with a spin manuever. Too bad. Lose two rounds while you recover.,"Your combination of acrobatics and attacks is unimpressive. Lose two rounds of attacks, but you can still parry.",You stagger into a nearby fixed object. You are stunned and unable to parry for two rounds.,"You lose your grip on your weapon. Luckily, it is tangled in your mount's tack. Your lack of grace stuns you for three rounds.",Poor release. Weapon travels 2d10 feet to the left of the target.,Your ammunition keeps jumping off of your weapon! Try melee next time.,"In the flurry, you have forgotten your best moves. May only make Strike I attacks for two rounds.",Ill-timed sweep results in your attempt to trip the ground. This stuns you for two rounds.,There was a chair here a minute ago! You may only make Small attacks for the next two rounds.,"You must change opponents next round. In addition, you can only make Small attacks for two rounds."
65,"You snag your clothes with your weapon, causing it to slip from your hand. Spend two rounds juggling it.","Your weapon flies from your hands, but you are able to catch it before it flies totally away. Lose two rounds of attack.",Your shaft tangles in your legs. You almost fall down in an impressive feat of entangling. Your next attack is at -20.,Your poor mount stumbles. You are stunned for two rounds.,Very poor release sends your weapon straight up! You duck for cover while your weapon checks for breakage.,Your weapon slips from your hands. Spend two rounds recovering it; or draw a new weapon.,Mistake in attack causes awkward position and slight muscle spasms. You must parry for two rounds.,Foe's deft move leaves you trying to throw the air. You must parry for two rounds while looking for the right opening.,Your attack misses widely. You nearly trip yourself and stagger. You must parry for two rounds while you recover.,You are confused. All attacks for the next three rounds are at half offense while you orient.
66,You execute a perfect attack—against closest ally (yourself if no one else is around). Ally takes 1d10 hits and a 'B' critical.,Acrobatic manuever leaves you flat on your back. Take 2d10 hits and an 'E' Krush critical.,Your weapon must check for breakage as you slam it into the ground! You are stunned for six rounds because of the impact.,Your swing slices the tack of your mount. You and your saddle take your leave of the poor beast. Take an 'A' Krush critical.,Your ferocious scream is followed by silence as you hit yourself. Take a 'D' Krush critical.,Take an 'A' Krush critical from the sudden release. Your weapon snaps cleanly into two pieces.,What were you thinking! You strike the nearest solid object that isn't your opponent. Give yourself an 'A' Krush critical.,Acrobatic move leaves you flat on your back! Take an 'A' Krush critical.,Someone blindsides you just as you were about to strike! Take an 'A' Brawling critical.,The wind changes and you smell food! You must disengage and seek out an easier source of food!
70,You trip over that uneven surface. Spend two rounds staggering. You can still parry.,"You gracefully drop your weapon to the ground. You are able to kick it back into your hand, but you lose two rounds while doing it.",Your weapon seems to have a mind of it's own! Your next attack is at -50 as your try and get it under control.,Your tack has loosened! You suddenly slip sideways. You are stunned for two rounds,You cannot control your aim—your weapon flies 2d10 feet to the right of the intended target.,Your grip fails you and your weapon flies from your hands. Spend two rounds recovering it; or draw a new weapon.,Bad positioning. You must parry for two rounds while you recover.,Foe is just too powerful! You contemplate your last last lesson while parrying for the next two rounds.,You catch a chair that someone threw. You can only parry for two rounds while you get unentangled from the furniture.,You are distracted by a fly that keeps buzzing your head. You can only use half your normal attack ability for two rounds.
80,You are distracted by that pixie in the corner. You lose 2 rounds of attacks.,You strain your shoulders in a mighty swing (that misses). You are stunned for two rounds.,Your ineptitude is obvious to all. You lose 3 rounds of attacks and are stunned for 2 rounds.,Your weapon goes straight into the ground (check for breakage).,"Just as you are about to release, you step into an imaginary hole in the ground. Lose 3 rounds getting up from the ground.",Your bowstring breaks! Draw a new weapon or put a new string on this one.,Attempt at an advanced technique stuns you for the remainder of the round and next round.,Foe easily avoids your clumsy sweep. You are out of position and are stunned and unable to parry for one round.,Your pugilistic attempts are humorous. You are stunned for two rounds as you punch that post when your foe ducks.,That shiney piece of metal keeps distracting you. You suffer a -50 for two rounds.
85,You are suddenly very winded. Take two rounds to relax.,You lose your grip as you begin your swing. Your weapon is trying to slip away. Spend three rounds gaining control. You can still parry.,Clumsy move narrowly misses your own head. You are stunned and unable to parry for three rounds (try a bow next time).,Your weapon flies out of your hand! Draw a new one.,Your weapon drops to the ground as you begin to aim. Take four rounds to recover this one; or draw a new one,"Your weapon bites back when you fire. Your shot misses everything, but you are stunned and unable to parry for three rounds.","Your knee connects with foe's solid bone, causing an interesting sensation. You are stunned for one round and unable to parry for two rounds.",You've suddenly forgotten the follow though move on that throw. You lose three rounds of action while trying to remember it.,The crowd pushes you into the wall. You lose three rounds of action as you seek to get free of the crowd.,Was that your babies crying? Suffer a -50 for three rounds before you you discover it was that mocking bird again.
