item,comment,weight,prod. time,cost,type,capacity,volume,bonus,skill,count
Arrow Heads (20),iron arrow tips,1.5 lbs.,0.5 day,2bp,gear,0 lbs.,0l,0,---,20
Arrows (20),Wooden shafts and iron tips.,3 lbs.,1 day,4bp,ammo,0 lbs.,0l,0,---,20
Backpack,Leather or canvas. Holds 20 lbs; 1 cubic foot.,2-3 lbs.,1 day,2bp,container,20 lbs.,27l,0,---,1
Bedroll (heavy),Wool/fur. 4 season.,8-11 lbs,1 day,7bp,outdoor,0 lbs.,0l,0,---,1
Bedroll (light),Wool blanket. 2 season.,4-7 lbs.,0.5 days,2bp,outdoor,0 lbs.,0l,0,---,1
Belt (standard),standard leather belt,0.6-0.8 lbs.,3 hrs,2bp,clothes,0 lbs.,0l,0,---,1
Bolt Heads (20),Crossbow Bolt heads iron,1.5 lbs.,2 days,6bp,gear,0 lbs.,0l,0,---,20
Boots,Leather.,3-4 lbs.,3 days,1sp,clothes,0 lbs.,0l,0,---,1
Brush (writing),Wooden shaft with hair bristles. Capped.,0.25 lbs.,4 hrs,5cp,tool,0 lbs.,0l,0,---,1
Bucket,Copper. Holds 3 gallons.,2-3 lbs.,1 day,4bp,container,22 lbs.,11.36l,0,---,1
Caltrops (5),Portable spike traps.,2 lbs.,1 day,8bp,trap,0 lbs.,0l,0,---,5
Candle,Wax or tallow. Lights 10' diameter; burns 2 hrs.,0.25 lbs.,0.5 days,4cp,light,0 lbs.,0l,0,---,1
Case,"Water-resist. Made of leather. 12"" x 3"" x 6"".",1 lbs.,2 days,4sp,container,7 lbs.,3.55l,0,---,1
Cask,Wood. Holds 4 gallons.,5 lbs.,1.5 days,24bp,container,30 lbs.,15.14l,0,---,1
Chain,Iron. 10'.,8-10 lbs,1 day,6bp,rope,0 lbs.,0l,0,---,1
Chalk (10),"White. 5"" long.",0.25 lbs.,2 hrs,2bp,write,0 lbs.,0l,0,---,10
Charcoal,Hot  4-hour fire. ,1 lbs.,0.5 days,22cp,light,0 lbs.,0l,0,---,1
Chisel,Iron. -40 dagger.,1 lbs.,1 day,9bp,tool,0 lbs.,0l,-40,Weapon - 1-H Edged/Dagger,1
Climbing pick,Iron. -15 war mattock.,2 lbs.,1 day,28bp,tool,0 lbs.,0l,0,---,1
Cloak,Heavy linen or wool.,2-3 lbs.,1 day,9bp,clothes,0 lbs.,0l,0,---,1
Coat,Leather or heavy linen.,5-9 lbs.,2 days,15bp,clothes,0 lbs.,0l,0,---,1
Crossbow bolts (20),Wooden shafts with iron tips.,3 lbs.,2 days,11bp,ammo,0 lbs.,0l,0,---,20
Fire-starting bow,Starts fire in 5 minutes.,0.5 lbs.,1 hr,8tp,tool,0 lbs.,0l,0,---,1
Flint and steel,Starts fire in 3 minutes.,0.5 lbs.,---,1bp,tool,0 lbs.,0l,0,---,1
Flute,Wood.,1 lbs.,1 day,11bp,music,0 lbs.,0l,0,---,1
Framepack,Canvas. Holds 45 lbs; 2 cubic feet.,3-4 lbs.,1.5 days,33cp,container,45 lbs.,56l,0,---,1
Gloves,Heavy leather; lined.,0.5 lbs.,1 day,2bp,clothes,0 lbs.,0l,0,---,1
Grappling hook,Iron. Grip fails on a 02-03 on a maneuver roll.,1 lbs.,1 day,1sp,tool,0 lbs.,0l,0,---,1
Hammer,Iron. -30 mace.,1 lbs.,1 day,1sp,tool,0 lbs.,0l,-30,Weapon - 1H Concussion/Mace,1
Hammock,Rope; wood spreaders; iron hooks.,2-3 lbs.,3 days,1bp,tool,0 lbs.,0l,0,---,1
Harness,Leather/iron. Includes bit and reins.,4 lbs.,2 days,1sp,tool,0 lbs.,0l,0,---,1
Hat,Leather.,1 lbs.,1 day,6bp,clothes,0 lbs.,0l,0,---,1
Hood,Covers head & shoulders.,0.5 lbs.,0.5 day,16cp,tool,0 lbs.,0l,0,---,1
Ink,Black; non-soluble.,0.25 lbs.,---,14cp,write,0 lbs.,0l,0,---,1
Jacket (lined),lined jacket made of fabric or felt,2.5-3.5 lbs.,2 days,3sp,clothes,0 lbs.,0l,0,---,1
Jacket (simple),simple jacket made of fabric or felt,2-3 lbs.,1 day,11bp,clothes,0 lbs.,0l,0,---,1
Ladder,Wood. 10'. Bears 400 lbs.,15 lbs.,2 days,32cp,tool,0 lbs.,0l,0,---,1
Lantern,Lights 40' diameter.,1-2 lbs.,4 days,12bp,light,0 lbs.,0l,0,---,1
Lock pick kit,+5 skill bonus to Lock Picking.,0.5 lbs.,2 days,1sp,tool,0 lbs.,0l,5,Subterfudge Mechanics/Picking Locks,1
Lute,Wood.,1.5 lbs.,2 days,3sp,music,0 lbs.,0l,0,---,1
Mirror,"Silvered glass. 6"" x 4"".",0.5 lbs.,1 day,35bp,gear,0 lbs.,0l,0,---,1
Nails (20),"Iron. 3"" length.",0.5 lbs.,3 hrs,9tp,tool,0 lbs.,0l,0,---,20
Oar,Wood. 6'-8'.,4-5 lbs.,7 hrs,6cp,tool,0 lbs.,0l,0,---,1
Oil flask,Includes 1 pint oil (6 hr refill).,1 lbs.,1 day,3bp,light,0 lbs.,0l,0,---,1
Padded Undercoat,Heavy linen or wool.,2-4 lbs.,2 days,6bp,clothes,0 lbs.,0l,0,---,1
Paddle,Wood. 4'-5'.,3 lbs.,5 hrs,5cp,tool,0 lbs.,0l,0,---,1
Padlock,Iron; with 2 keys. +0 to Lock picking attempts.,1 lbs.,2 days,23bp,tool,0 lbs.,0l,0,---,1
Pants,Linen.,1-2 lbs.,1 day,25cp,clothes,0 lbs.,0l,0,---,1
Paper (10),"10 sheets. 12"" x 6"".",0.25 lbs.,1 day,12bp,write,0 lbs.,0l,0,---,10
Parchment (10),"10 sheets. 12"" x 6"". Very durable.",0.25 lbs.,1 day,2sp,write,0 lbs.,0l,0,---,10
Pegs (10),Wood.,2 lbs.,2 hrs,9tp,tool,0 lbs.,0l,0,---,10
Pitons (10),Iron.,2-3 lbs.,1 day,2bp,tool,0 lbs.,0l,0,---,10
Plank,"Wood. 10' x 6' x 2"". Bears 350 lbs.",11-12 lbs.,4 hrs,6tp,tool,0 lbs.,0l,0,---,1
Pole,Wood. 10'.,5-10 lbs.,3 hrs,5cp,tool,0 lbs.,0l,0,---,1
Pot (cooking),Iron. Holds 2 gallons.,2-3 lbs.,1 day,7bp,container,15 lbs.,7.6l,0,---,1
pouch,leather or canvas. Holds 2 lbs;  0.3 cubic foot.,1 lbs.,1 day,25cp,container,2 lbs,7.1l,0,---,1
Quill-pens (10),Goose feather quills.,0.25 lbs.,2 hrs,4cp,write,0 lbs.,0l,0,---,10
Quiver,Holds 20 arrows/bolts.,0.5 lbs.,1 day,1bp,ammo,0 lbs.,0l,0,---,1
Robe (decorated),Satin,2-3 lbs.,3 days,15bp,clothes,0 lbs.,0l,0,---,1
Robe (simple),Linen,2-3 lbs.,1 day,7bp,clothes,0 lbs.,0l,0,---,1
Rope,Hemp. 50'.,4-7 lbs.,3 days,4bp,rope,0 lbs.,0l,0,---,1
Rope (superior),Reinforced hemp. 50'.,2-4 lbs.,5 days,12bp,rope,0 lbs.,0l,0,---,1
Rune Paper,magical prepared parchment,0.01-0.025 lbs.,1 day,1gp,magic,0 lbs.,0l,0,Power Perception/Read Runes,1
Sack (50 lb),Holds 50 lbs. 3 cubic feet.,2-3 lbs.,2 hrs,8cp,container,50 lbs.,85l,0,---,1
Saddle,Includes stirrups +  blanket. ,10-12 lbs.,6 days,5sp,gear,0 lbs.,0l,0,---,1
Saddle bag,Holds 15 lbs. 1.5 cubic feet.,4-6 lbs.,2 days,8bp,container,15 lbs.,42.5l,0,---,1
Saw,"Iron. 24"" wood-tool.",2-3 lbs.,2 days,23bp,tool,0 lbs.,0l,0,---,1
Scabbard (belt),Holds one 1-h weapon.,1 lbs.,1 day,25bp,clothes,0 lbs.,0l,0,---,1
Scabbard (shoulder),Holds one 2-h weapon.,1.5 lbs.,1 day,3sp,clothes,0 lbs.,0l,0,---,1
Shirt,Linen,1 lbs.,1.5 days,3bp,clothes,0 lbs.,0l,0,---,1
Spade,Iron. Wood shaft.,3-4 lbs.,1 day,16bp,tool,0 lbs.,0l,0,---,1
Sundial,Iron. Gives approximate time.,1 lbs.,2 days,3sp,tool,0 lbs.,0l,0,---,1
Surcoat,Linen,1-2 lbs.,1.5 days,9bp,clothes,0 lbs.,0l,0,---,1
Tarp,Canvas. 5' x 8'.,3-5 lbs.,2 hrs,1bp,outdoor,0 lbs.,0l,0,---,1
Tent,Canvas. 5' x 8'. Two man.,8-10 lbs.,2 days,2sp,outdoor,0 lbs.,0l,0,---,1
Tinderbox,Wood. Enough for 7 fires.,0.25 lbs.,0.5 days,2cp,tool,0 lbs.,0l,0,---,1
Torch,Lights 20' diameter. (6 hrs).,1 lbs.,1 hr,3tp,light,0 lbs.,0l,0,---,1
Vial,Glass. Holds 2 oz.,0.25 lbs.,2 hrs,2bp,container,0.12 lbs.,0l.0l6l,0,---,1
Vial for magic potions,prepared vial to hold magical potions,0.6-1 lbs.,1 hr,10gp,magic,0 lbs.,0l,0,---,1
Water skin,Holds 1 pint (.5 lbs).,0.25 lbs.,6 hrs,1cp,container,0.5 lbs.,0l.5l,0,---,1
