item,type,area,climate,locale,difficulty,form,prep,cost,AF,comment,effect,lvl
Abaas,Concussion Relief,---,---,---,light,Leaf,Ingest,3cp,0, ,Heals 2-12 hit points.,1
Acaana,Poison,everywhere,cold,mountains,absurd,Flower,Paste,600gp,0,,Nerve poison. Black paste that destroys nervous system. RR failure by 01-15 results in a destroyed nervous system and incapacitated victim. RR failure by 16-30 sends victim into a coma. RR failure by 31+ results in instant death.,10
Adder Venom,Poison,---,---,---,extreme,Venom,Paste,80sp,0,,Muscle poison. RR failure with 1-25 results in a pseudoparalysis causing -2 per 1 failure for 5-10 rounds. Failure with 26-50 results in similar paralysis for 11-20 rounds. RR failure by 51+ equals death due to heart failure in 6 rounds.,10
Agaath,Physical Alteration/Enhancement,---,---,---,easy,Berry,Ingest,10sp,0,Drawback confers a lung disease breaking out within 1-4 days of  ingesting the Agaath. User is at -25 until a RR is made (minimum two full days).,Enable user to act normal without having to breath. Protects against inhalable poisonous gases and provide the ability to be under water for 5 minutes. ,10
Ajkara,General Purpose,---,---,---,medium,Incense,Smoke,30sp,0,,Truth serum. RR failure by 1-25 put victim at -10 for 1-10 hours. Victim behave slow and drugged. RR failure by 26-50 results in -20 and victim being easy to interrogate (+50 to any Lie Perception rolls). RR failure by 51+ results in target being unable to lie.,6
Akbutege,General Purpose,southwestern Endor,semi-arid,ocean/saltwater shore,very hard,Leaf,Ingest,25gp,1,,Heals d10 hits.,1
Alambas,Burn/Exposure Relief,southwestern Endor,warm,short grass,light,Grass,Apply,10gp,0,,Heals 4 square feet of any burns. Relieving any hit points and penalties from that injury. As a rule of thumb one dose of Alambas is enough to heal the injuries from one heat critical.,6
Aldaka,Organ Repair/Preservation,everywhere,cold,mountains,hard,Root,Brew,100gp,0,,It repairs damage to eyes burned by extreme light or heat. The patient has  to keep his eyes coverd for a week and to drink a dose each day. It has noeffect on an eye that is punctured.,0
Aloe,Burn/Exposure Relief,south Endor,cold,scrubland,medium,Leaf,Apply,5bp,0,Taken internally; aloe causes cramps and nausea.,Double healing rate for minor burns. Immediately heals 5 hit points from burns. For medium or major burns five or ten times the dosage is needed for the same healing effect.,1
Alshana,Physical Alteration/Enhancement,---,---,---,easy,Bread,Ingest,12sp,0,,Dwarven bread provided to the guests of dwarven underground cities to aid them in the dark caverns. Provide nightvision 300' (i.e user still need a torch or lantern to see) for 1 hour. Keeps 6-8 weeks. Seldom sold on the open market.,4
Alshanak,Enchanted Breads,---,cool temperate,tall grass,easy,Bread,Ingest,35gp,5,,4 oz. slice is one dose. Heat sensitive vision (infravision up to 50') for 1 hour. Loaf keeps 1-2 months.,1
Ancalthur,Poison,everywhere,cool temperate,freshwater coast and banks,very hard,Flower,Liquid,45gp,0,,Circulatory poison. RR failure by 1-15 incapacitates victim for 1-5 hours (-100). RR failure by 16-30 results in incapacitation for 6-10 hours. RR failure by 31+ results in death due to oxygen starvation.,2
Angurth,Poison,---,---,---,routine,Bacteria,Paste,23sp,0,Some armies deliberately defile their weapons to cause epidemic diseases amongst enemies.,Bubonic disease. Cause fever and nausea for 2-10 days. RR failure by 01-15 leaves victim at -15. RR failure by 16-30 put victim at -25. RR failure by 31+ results in -50 and a slow painful death over 1-6 days.,2
Ankii,General Purpose,---,---,---,extreme,Berry,Ingest,17sp,0,Drawback lowers CON-stat (temp) by 1. Overuse is dangerous.,Equals 8 hours of good sleep. Dangerous to use for prolonged periods. If used twice per week = 5 points of CON loss thrice = lose 15 pts four times = lose 30 pts. Four times = RR or coma.,11
Anserke,Circulatory Relief,---,---,---,very hard,Root,Apply,6sp,0,,Stops bleeding on the wound applied to. Bleedings of 1-3 hits/rnd close in 1 rnd 4-6 hits/rnd close in 2 rnds and 7+ hits/rnd close in 3 rnds. Require 1 hour immobility or bleeding resumes.,10
Arduvaar,Antidotes,---,---,---,absurd,Plant,Brew,120sp,0,,Universal antidote. Reverse the effect of any known poison (unless target is dead). Magical herb requires preparation of skilled alchemist. ,20
Arfandas,Bone Repair,northern Endor,cold,freshwater coast and banks,very hard,Stem,Paste,2sp,1,,Doubles rate of healing for fractures.,5
Argsbargie,Antidotes,---,---,---,hard,Flower,Ingest,3sp,0,,Antidote for muscle poisons. Does not reverse any effects but effectively stop any further damage.,6
Arkasu,Muscle/Cartilage/Tendon Repair,---,mild temperate,tall grass,medium,Sap,Apply,3cp,0,,Heals 2-12 hit points. Doubles rate of healing for major wounds if used once per day during the healing process.,1
Arlan,Concussion Relief,everywhere,cold,mountains,easy,Leaf,Apply,13sp,0,,Grown and prepared by healer it heals 4-9 hit points. Wild it will heal 1-6 hit points. The price is for the garden grown species.,4
Arlan,General Purpose,everywhere,cold,mountains,easy,Root,Ingest,6sp,0,,Decongestant. +20 RR vs common cold. Speeds recovery rate from respiratory ills by 5x. One dose per day.,1
Arlans Slipper,General Purpose,everywhere,cool temperate,mountains,extreme,Root,inhale,1bp,0,,"When extracted and dried, the root is a handy remedy for colds. (The dried root must be boiled and the vapor inhaled) It also speeds recovery from respiratory diseases (5x normal rate) and enhaces resistance to the common cold (+20 RR)",0
Arnuminas,Muscle/Cartilage/Tendon Repair,northern Endor,mild temperate,short grass,easy,Leaf,Apply,2cp,0,Drawback means healing has been faulty and user will have a permanent detriment of sorts.,Doubles rate of healing for sprains torn ligaments and cartilage damage. 1 dose per day needed for effect.,1
Arpsusar,Muscle/Cartilage/Tendon Repair,everywhere,cool temperate,freshwater coast and banks,hard,Stalk,Brew,30gp,15,,Mends muscle damage. Takes 1 hour to be effective,6
Arunya,General Purpose,everywhere,warm,hillsides,hard,Root,Brew,2bp,15,Drawback causes addiction. First use has regular drawback factor. Second day use  increases drawback by 15. If user take more than one dose per 8 hour period it will act as a Mild conversion poison. ,Causes deep sleep (unconsciousness) for 1-4 hours. Every hour slept equals 4 hours of normal rest. User runs the risk of addiction if used for 2 or more consecutive days. ,3
Arroweed,General Purpose,everywhere,mild temperate,short grass,medium,Seed,Ingest,1gp,0,,Restores 1-3 hits immediately if is eaten.,0
Asp Glands,Organ Repair/Preservation,everywhere,warm,grasslands,light,Pea,Ingest,50gp,0,,Asp poison is deadly when injected into the bloodstream. When ingested it has a different effect being a powerful organ  restorer. ,0
Asgurash,Poison,---,---,---,extreme,Snake,Paste,28sp,0,Also come in paste form to coat edged weapons but usually priced at 20\\% higher cost.,Nerve poison. Brownish snake venom. RR failure causes a gradual paralysis of the inflicted area over 6-10 rnds lasting for 5 minutes/10 failure. Paralysed area is useless. If head or chest is poisoned the upper body is paralysed and target is incapacitated for the duration.,3
Asp Venom,Poison,everywhere,warm,tall grass,light,Snake,Paste,23gp,0,,Nerve poison. Clear fluid made into a paste. Struck limb is numb and useless for 1 day/10 failure. RR failure by 51+ means either loss of affected limb (i.e amputation is necessary) or death within 11-20 hours.,5
Athanar,Poison,---,---,---,medium,Snake,Liquid,15sp,0,,Reduction poison. Reduces CO-stat (temp) by 50 over the course of 6-10 hours. If CO-stat falls beneath zero victim dies.,3
Athelas,General Purpose,northwestern Endor,cool temperate,coniferous forest,hard,Leaf,Brew,5bp,0,Does not bring back the dead.,Cures anything on the living. May substitute any healing herb or antidote up to half of healers level (full level if healer is a true king). I.e in the hands of a 12th level healer Athelas may have the effect of a Yavethalion or an Arpsusar (6th level herbs).,10
Atigax,Physical Alteration/Enhancement,everywhere,cold,scrubland,medium,Root,Brew,40gp,0,,Prevents blindness due to sudden or blinding light. Lasts 9 hours. User is immune to Sudden Light.,8
Attanar,General Purpose,---,---,---,medium,Moss,Apply,6sp,0,,Cures fever in 24 hours.,4
Avhail,Nutrition/Refreshment,Eriador,mild temperate,short grass,easy,Fruit,Ingest,3bp,0,,Avhail fruits may be eaten as a food source or a desert treat when baked into pastries. They are also fermented into a potent brandy called biotaille.,0
Awn,General Purpose,---,---,---,absurd,Bark,Brew,750sp,0,Drawback causes enormous and lasting pains from the joined limb equaling a permanent -10 penalty to all activity including use of limb.,Joins limbs. Require complete immobility.,20
Balak,Bone Repair,south Endor,warm,ocean/saltwater shore,hard,Reed,Brew,45gp,0,Anyone ingesting the Balak tea typically becomes constipated for 1 week.,Shatter repairs. Magical herb mends shattered bones without need of surgery. The herb will only heal one shattered bone so if there are many in the users body it will target the gravest injury (usually the one that provide most penalty).,16
Baldfoot,Concussion Relief,Eriador,mild temperate,decidous/mixed forest,hard,Berries,Ingest,2gp,0,If more than one berry is eathen it only cures 1d10 hits and strikes the consumer with severe vertigo for 1-4 hours during which time he is unable to engage in any activity and must be carried due to loss of balance. After 2 hours another dose of this plant's fruit (1 berry) may be consumed without any side effects.,Ingestion of a Baldfoot berry instantly restores 1d10 hits. The berries keep upt for 2 weeks before loosing their potency.,0
Branaie,General Purpose,Eriador,mild temperate,grasslands,easy,Leaf,Brew,3sp,0,If taken from a meadow fertilized by heards of domesticated animals the plant mus be well washed before being used or there is a 50\\% chance for actually doubling the amount of nausea or vormiting.,A tea brewed from Branaie leaves lessens the intensity of nausea and vormiting by 75\\%.,0
Bearded Fang,Nutrition/Refreshment,everywhere,mild temperate,underground,hard,Mushroom,Ingest,6gp,0,,Bearded Fang is delicious nurticous and eagerly sought after by mushroom lovers. The beard ist tasteless but often allowed to remain as a way of verifying its pedigree to customers,0
Baldakur,Muscle/Cartilage/Tendon Repair,---,---,---,folly,Root,Brew,90sp,0,,Restores sight. Can repair one eye-damage as long as the eye is not completely destroyed.,13
Baranie,Antidotes,---,---,---,easy,Leaves,Brew,5bp,0,,Reduces nausea. Cures stomach disease and reduces the effects of certain poisons. Lower the effects of conversion poisons by 1 degree of severity.,2
Belan,Circulatory Relief,Eriador,hot and humid,ocean/saltwater shore,hard,Nut,Ingest,40gp,0,The nuts keep up for 3 month before their meat turns rancid.,Stops all bleeding wounds in one body. Take 1-10 rounds to take effect. Patient cannot be moved for 1 hour or bleeding will resume at half rate.,8
Belramba,Muscle/Cartilage/Tendon Repair,---,---,---,very hard,Lichen,Brew,42sp,0,,Nerve repair. Will heal all damaged nerves in one body.,11
