Lvl,Spell,Area of Effect,Duration,Range,Type,Description
1,,1 target,C,50',Fm,
2,,1 target,C,50',Fm,
3,,1 target,C,50',Fm,
4,,1 target,C,50',Fm,
5,,1 target,C,50',Fm,
6,,1 target,C,50',Fm,
7,,1 target,C,50',Fm,
8,,1 target,C(2x),50',Fm,
9,,1 target,C(2x),50',Fm,
10,,1 target,P,50',Fm,
11,,1 target,C(2x),50',Fm,
12,,1 target,C,50',Fm,
13,,1 target,C,50',Fm,
15,,1 target,C(2x),50',Fm,
17,,1 target,C(2x),50',Fm,
19,,1 target,varies,50',Fm,
20,,1 target,C(3x),50',Fm,
25,,1 target,C(2x),50',Fm,
30,,1 target,varies,50',Fm,
50,,1 target,varies,50',Fm,
