Lvl,Spell,Area of Effect,Duration,Range,Type,Description
1,Machine Lore,1 object,---,touch,I,"This spell analyzes one ''machine'' giving the caster an idea of its purpose and operating procedures. This gives the caster a +20 when operating this particular machine. Anyone to whom he describes the analysis to can get a +10 when operating the machine."
2,Tune,1 object,---,touch,U,"When this spell is cast upon a machine, the machine’s efficiency will return to its original level. For example if cast upon a rusty lock, the lock will return to its original non-rusty operational level."
3,Jam I,1 trap,---,touch,U,"This spell has a 50\% chance of jamming the target mechanism (e.g. trap, lock, machine, etc.). If the target mechanism is jammed, there is only a 5\% chance that the target mechanism operates normally when used/triggered normally (check separately each time the mechanism is used). For example if this spell is cast upon a pressure plate in the floor (that will drop a portcullis when someone steps upon it), there is a 5\% chance the mechanism will trigger each time someone walks over it."
4,Unlock I,1 lock,---,touch,U,"This spell has a 30\% chance of opening any nonmagical lock. If the lock is not unlocked, there is a 10\% chance that any traps associated with it are set off. Rolls are open-ended and the sophistication of the lock may modify the roll. See Section 7.1.29."
5,Untrap I,1 trap,---,touch,U,"As Unlock I except its chances concern disarming traps."
6,Operate I,1 machine,1 min/lvl,touch,U,"As Unlock I except this spell has a 30\% chance of operating any non-magical machine in its normal capacity for the duration of the spell. After the duration the machine will operate normally. For example if this spell were used to turn a wheel the wheel would spin for the duration of the spell then slowly spin to a stop."
7,Detect Active Power,5'R,1 min/lvl (C),self,P,"For the duration of this spell, the caster will be aware when any active magic is in the area of effect. The caster will not know what the magic is or where it is; only that it is in the area of effect. For example a Dabbler with this spell active can move down a passageway. The moment he gets near magical symbols on a door he will be warned of active magic in the area (and perhaps the spell casters in the party can set out to find the source)."
8,Jam II,1 trap,---,touch,U,"As Jam I except has a 70\% chance of jamming the trap (and only a 4\% chance of setting it off)."
9,Unlock II,1 lock,---,touch,U,"As Unlock I except has a 50\% chance of opening the lock (and only an 8\% chance of setting off associated traps)."
10,Untrap II,1 trap,---,touch,U,"As Untrap I except has a 50\% chance of disarming the trap (and only an 8\% chance of setting off the trap)."
11,Operate II,1 machine,1 min/lvl,touch,U,"As Operate I except has a 50\% chance of operating the machine."
12,Jam III,1 trap,---,touch,U,"As Jam I except has a 90\% chance of jamming the trap (and only a 3\% chance of setting it off)."
13,Unlock III,1 lock,---,touch,U,"As Unlock I except has a 70\% chance of opening the lock (and only a 6\% chance of setting off associated traps)."
14,Untrap III,1 trap,---,touch,U,"As Untrap I except has a 70\% chance of disarming the trap (and a 6\% chance of setting off the trap)."
15,Operate III,1 machine,1 min/lvl,touch,U,"As Operate I except has a 70\% chance of operating the machine."
16,Jam III,1 trap,---,touch,U,"As Jam I except has a 100\% chance of jamming the trap (and only a 2\% chance of setting it off)."
17,Unlock IV,1 lock,---,touch,U,"As Unlock I except has a 90\% chance of opening the lock (and only (and a 4\% chance of setting off the trap)."
18,Untrap IV,1 trap,---,touch,U,"As Untrap I except has a 70\% chance of disarming the trap (and a 4\% chance of setting it off)."
19,Operate IV,1 machine,1 min/lvl,touch,U,"As Operate I except has a 90\% chance of operating the machine."
20,Jam True,5'R/lvl,---,self,U,"As Jam III except affects all traps in the area of affect."
25,Unlock True,5'R/lvl,---,self,U,"As Unlock III except affects all locks in the area of effect."
30,Untrap True,5'R/lvl,---,self,U,"As Untrap III except affects all traps in the area of effects"
50,Operate True,5'R/lvl,1 min/lvl,self,U,"As Operate III except affects all machines in the area of effects."
