Lvl,Spell,Area of Effect,Duration,Range,Type,Description
1,Courage,10'R,1 rnd/lvl,self,U,"For the duration of this spell, all within the area of effect (including the caster) may make a second RR versus any fear or panic effect. This second RR is made with an additional +10 modifier."
2,Inspirations I *,20'R,1 rnd/lvl,100',U,"Caster inspires all allies who are within the area of effect (they must be aware of the caster). All allies gain +5 to melee attacks and moving manuevers for the duration of the spell. This spell will only work during combat or highly religious moments (e.g., an oratory presentation prior to a large battle). These bonuses do not apply to the caster."
3,Voice of Friendship *,1 target,varies,50',Fm,"For as long as they speak together, the target of this spell will believe that the caster is a good friend and is acting in the target’s best interest."
4,Inspirations II *,20'R,1 rnd/lvl,100',U,"As Inspirations I, except bonuses are +10."
5,Voice of Reason *,1 target,varies,50',Fm,"For as long as the caster speaks, the target will beleve that the reasoning and ideas that the caster expresses are correct and valid."
6,Inspirations III *,20'R,1 rnd/lvl,100',U,"As Inspirations I, except bonuses are +15."
7,Voice of Caution *,1 target,varies,50',Fm,"For as long as the caster speaks, the target will become more cautious (less rash) and will tend to obey the caster's warnings without hesitation or doubt."
8,Command I *,1 target,C,10'/lvl,Fm,"Target must obey the caster. However, he will not perform any act that is completely alien to him (e.g., no suicide suggestions, no blinding himself suggestions, etc.)."
9,Inspirations IV *,20'R,1 rnd/lvl,100',U,"As Inspirations I, except bonuses are +20."
10,Words of Friendship *,varies,varies,100',Fm,"As Voice of Friendship, except will affect all who can hear the caster."
11,Inspirations V *,20'R,1 rnd/lvl,100',U,"As Inspirations I, except bonuses are +25"
13,Command II *,2 targets,C,10'/lvl,Fm,"As Command I, except affects two targets."
14,Words of Reason *,varies,varies,100',Fm,"As Voice of Reason, except will affect all who can hear the caster."
15,Inspirations VI *,20'R,1 rnd/lvl,100',U,"As Inspirations I, except bonuses are +30."
16,Courage True,10'R,1 rnd/lvl,self,U,"As Courage, except the second RR automatically succeeds."
17,Inspirations VII *,20'R,1 rnd/lvl,100',U,"As Inspirations I, except bonuses are +35."
18,Words of Caution *,varies,varies,100',Fm,"As Voice of Caution, except will affect all who can hear the caster."
19,Inspirations VIII *,20'R,1 rnd/lvl,100',U,"As Inspirations I, except bonuses are +40."
20,Voice of Conviction,1 target,varies,10',Fm,"[RR Mod: -50] After casting this spell, the caster must tell the truth (as he knows it). All targets who fail their RR will believe the caster is speaking the absolute truth."
25,Inspirations True,20'R,1 rnd/lvl,100',U,"As Inspirations I, except bonuses are +50."
30,Words of Conviction,varies,varies,100',Fm,"As Voice of Conviction, except will affect all who can hear the caster."
50,Inspirations Mastery,varies,1 rnd/lvl,varies,U,Caster can use any lower level spell from this list once per round.
