Lvl,Spell,Area of Effect,Duration,Range,Type,Description
1,Bone Lore,1 target,---,touch,U,"Caster acquires complete understanding of any bone damage, including the tools and methods required for healing. Caster does not receive the skill or power to perform the cure."
3,Minor Fracture Repair,1 target,P,touch,U,"Allows caster to mend one simple fracture (not compound fractures, shatters, joint damage, etc.). Recovery time is one day."
4,Cartilage Repair,1 target,P,touch,U,Allows caster to repair all cartilage damage around one joint. Recovery time is one day.
5,Limb Preservation \textdaggerdbl *,1 target,1 day/lvl,touch,U,"Allows caster to prevent the deterioration of one limb (even if severed). Also requires the use of the same spell from Nerve Law, Muscle Law, and Blood Law."
6,Major Fracture Repair,1 target,P,touch,U,"As Minor Fracture Repair, except that the caster can also repair compound fractures. Recovery time is one day."
8,Skull Repair,1 target,P,touch,U,Allows caster to mend one fracture in a skull (but not a shattered area). Recovery time is 1-10 days (depending on the damage).
10,Joint Repair,1 target,P,touch,U,Allows caster to repair one broken (but not shattered). Recovery time is 1-10 days.
11,Major Fracture Repair True,1 target,P,touch,U,"As Minor Fracture Repair, except recovery is instantaneous."
12,Joining \textdaggerdbl *,1 target,P,touch,U,"Allows caster to reattach a limb. Requires the use of Muscle Law, Blood Law, and Nerve Law Joining spells to restore functional status. Limb is fully functional in 10-100 days."
13,Cartilage Repair True,1 target,P,touch,U,"As Cartilage Repair, except recovery time is instantaneous."
14,Major Fracture Repair True,1 target,P,touch,U,"As Major Fracture Repair, except recovery time is instantaneous."
15,Skull Repair True,1 target,P,touch,U,"As Skull Repair, except recovery time is instantaneous."
16,Joint Repair True,1 target,P,touch,U,"As Joint Repair, except recovery time is instantaneous."
17,Shatter Repair,1 target,P,touch,U,Allows caster to repair any broken or shattered bone. Requires a 10 minute operation and 1-10 days recovery time.
18,Mass Minor Fracture Repair,1 target,P,touch,U,"As Minor Fracture Repair, except it repairs one minor fracture per level of the caster. Spell operates as long as caster concentrates; each mended fracture requires a one day recovery period."
20,Mass Cartilage Repair,varies,P,touch,U,"As Mass Minor Fracture Repair, except it repairs cartilage (as in Cartilage Repair)."
25,Joining True \textdaggerdbl *,1 target,P,touch,U,"As Joining, except that the limb is fully functional in 10 minutes (provided that the caster also uses the other three Joining True spells)."
30,Mass Major Fracture Repair,varies,P,100',U,"As Mass Minor Fracture Repair, except for the range and it repairs major fractures (as in Major Fracture Repair)."
50,Mass Shatter Repair,varies,P,100',U,"As Mass Minor Fracture Repair, except for the range and it repairs any broken or shattered bone (as in Shatter Repair)."
