Lvl,Spell,Area of Effect,Duration,Range,Type,Description
1,Resist Light,1 target,1 min/lvl,10',U,"Target is totally protected from all natural light (includes glare, sunburn, and temporary blinding; but not lightning); +10 to all RRs vs light (electricity); -10 to elemental electricity attacks."
2,Resist Heat,1 target,1 min/lvl,10',U,"As Resist Light, except protects against natural heat to 200 F and modifies spells involving heat by 10."
3,Resist Cold,1 target,1 min/lvl,10',U,"As Resist Light, except protects against natural cold to -20 F and modifies spells involving cold by 10."
4,Resist Light Sphere,10'R,1 min/lvl,10',U,"As Resist Light, except all beings within 10'R of target are protected."
5,Resist Heat Sphere,10'R,1 min/lvl,10',U,"As Resist Heat, except all beings within 10'R of target are protected."
6,Resist Cold Sphere,10'R,1 min/lvl,10',U,"As Resist Cold, except all beings within 10'R of target are protected."
8,Lightarmor,1 target,1 min/lvl,10',U,"As Resist Light , except protects against all natural light and electricity and modifies spells involving light (electricity) by 20."
9,Heatarmor,1 target,1 min/lvl,10',U,"As Lightarmor, except protects against heat."
10,Coldarmor,1 target,1 min/lvl,10',U,"As Lightarmor, except protects against cold."
11,Lightarmor Sphere,10'R,1 min/lvl,self,U,"As Lightarmor, except protects all beings within 10'R."
12,Heatarmor Sphere,10'R,1 min/lvl,self,U,"As Heatarmor, except protects all beings within 10'R."
13,Coldarmor Sphere,10'R,1 min/lvl,self,U,"As Coldarmor, except protects all beings within 10'R."
15,Lightning Armor,1 target,1 min/lvl,10',U,"As Lightarmor, except it also decreases all electrical concussion hits (e.g., from shock bolts and lightning bolts) by half, and decreases electrical critical strikes by one level (e.g., ‘A's are ignored, 'B's become 'A's, 'C's become 'B's, etc.)"
17,Fire Armor,1 target,1 min/lvl,10',U,"As Lightning Armor, except fire and heat spells are affected (e.g., fire bolts and fireballs)."
19,Ice Armor,1 target,1 min/lvl,10',U,"As Lightning Armor, except cold and ice spells are affected (e.g., ice bolts and coldballs)."
20,Mass Lightarmor,1 tgt/lvl,1 min/lvl,10',U,"As Lightarmor, except as many targets as the caster's level can be affected."
25,Mass Heatarmor,1 tgt/lvl,1 min/lvl,10',U,"As Heatarmor, except as many targets as the caster's level can be affected."
30,Mass Coldarmor,1 tgt/lvl,1 min/lvl,10',U,"As Coldarmor , except as many targets as the caster's level can be affected."
50,True Armor,1 target,1 min/lvl,10',U,"Acts as Lightning Armor, Fire Armor, and Ice Armor all at the same time."
